week,home_team,away_team,temperature,gust,precipitation,home_team_score,away_team_score,indoor,neutral_site,country,city,state,date
4,TB,PHI,89,14,0.0,25,31,False,False,USA,Tampa,FL,2025-09-28T17:00Z
4,HOU,TEN,,,,26,0,True,False,USA,Houston,TX,2025-09-28T17:00Z
4,LAR,IND,78,13,0.0,27,20,False,False,USA,Inglewood,CA,2025-09-28T20:05Z
4,SF,JAX,78,20,0.0,21,26,False,False,USA,Santa Clara,CA,2025-09-28T20:05Z
4,KC,BAL,86,14,0.0,37,20,False,False,USA,Kansas City,MO,2025-09-28T20:25Z
4,LV,CHI,,,,24,25,True,False,USA,Las Vegas,NV,2025-09-28T20:25Z
4,DAL,GB,,,,40,40,True,False,USA,Arlington,TX,2025-09-29T00:20Z
4,MIA,NYJ,81,19,0.0,27,21,False,False,USA,Miami Gardens,FL,2025-09-29T23:15Z
4,DEN,CIN,72,14,0.0,28,3,False,False,USA,Denver,CO,2025-09-30T00:15Z
5,LAR,SF,72,23,0.0,23,26,False,False,USA,Inglewood,CA,2025-10-03T00:15Z
5,CLE,MIN,60,35,0.0,17,21,False,True,England,London,,2025-10-05T13:30Z
5,IND,LV,,,,40,6,True,False,USA,Indianapolis,IN,2025-10-05T17:00Z
5,NO,NYG,,,,26,14,True,False,USA,New Orleans,LA,2025-10-05T17:00Z
5,NYJ,DAL,82,10,0.0,22,37,False,False,USA,East Rutherford,NJ,2025-10-05T17:00Z
5,PHI,DEN,80,12,0.0,17,21,False,False,USA,Philadelphia,PA,2025-10-05T17:00Z
5,CAR,MIA,77,19,0.0,27,24,False,False,USA,Charlotte,NC,2025-10-05T17:00Z
5,BAL,HOU,75,12,0.0,10,44,False,False,USA,Baltimore,MD,2025-10-05T17:00Z
5,ARI,TEN,,,,21,22,True,False,USA,Glendale,AZ,2025-10-05T20:05Z
5,SEA,TB,59,22,0.0,35,38,False,False,USA,Seattle,WA,2025-10-05T20:05Z
5,CIN,DET,82,18,0.0,24,37,False,False,USA,Cincinnati,OH,2025-10-05T20:25Z
5,LAC,WSH,79,12,0.0,10,27,False,False,USA,Inglewood,CA,2025-10-05T20:25Z
5,BUF,NE,71,9,0.0,20,23,False,False,USA,Orchard Park,NY,2025-10-06T00:20Z
5,JAX,KC,77,13,0.0,31,28,False,False,USA,Jacksonville,FL,2025-10-07T00:15Z
6,NYG,PHI,56,6,0.0,34,17,False,False,USA,East Rutherford,NJ,2025-10-10T00:15Z
6,NYJ,DEN,58,10,0.0,11,13,False,True,England,London,,2025-10-12T13:30Z
6,IND,ARI,,,,31,27,True,False,USA,Indianapolis,IN,2025-10-12T17:00Z
6,MIA,LAC,82,9,0.0,27,29,False,False,USA,Miami Gardens,FL,2025-10-12T17:00Z
6,NO,NE,,,,19,25,True,False,USA,New Orleans,LA,2025-10-12T17:00Z
6,PIT,CLE,65,24,0.0,23,9,False,False,USA,Pittsburgh,PA,2025-10-12T17:00Z
6,CAR,DAL,67,38,0.0,30,27,False,False,USA,Charlotte,NC,2025-10-12T17:00Z
6,JAX,SEA,75,20,0.0,12,20,False,False,USA,Jacksonville,FL,2025-10-12T17:00Z
6,BAL,LAR,66,31,0.0,3,17,False,False,USA,Baltimore,MD,2025-10-12T17:00Z
6,LV,TEN,,,,20,10,True,False,USA,Las Vegas,NV,2025-10-12T20:05Z
6,GB,CIN,63,24,0.0,27,18,False,False,USA,Green Bay,WI,2025-10-12T20:25Z
6,TB,SF,83,19,0.0,30,19,False,False,USA,Tampa,FL,2025-10-12T20:25Z
6,KC,DET,68,5,0.0,30,17,False,False,USA,Kansas City,MO,2025-10-13T00:20Z
6,ATL,BUF,,,,24,14,True,False,USA,Atlanta,GA,2025-10-13T23:15Z
6,WSH,CHI,61,17,0.0,24,25,False,False,USA,Landover,MD,2025-10-14T00:15Z
7,CIN,PIT,61,11,0.0,33,31,False,False,USA,Cincinnati,OH,2025-10-17T00:15Z
7,JAX,LAR,59,19,0.02,7,35,False,True,England,London,,2025-10-19T13:30Z
7,CHI,NO,52,31,0.01,26,14,False,False,USA,Chicago,IL,2025-10-19T17:00Z
7,CLE,MIA,62,26,0.13,31,6,False,False,USA,Cleveland,OH,2025-10-19T17:00Z
7,TEN,NE,60,40,0.02,13,31,False,False,USA,Nashville,TN,2025-10-19T17:00Z
7,KC,LV,57,20,0.0,31,0,False,False,USA,Kansas City,MO,2025-10-19T17:00Z
