team,offensive_rank,defensive_rank,opponent
ARI,21,18,NO
ATL,24,8,TB
BAL,5,28,BUF
BUF,4,14,BAL
CAR,24,13,JAX
CHI,13,5,MIN
CIN,28,11,CLE
CLE,29,24,CIN
DAL,7,25,PHI
DEN,16,15,TEN
DET,3,9,GB
GB,10,26,DET
HOU,27,24,LAR
IND,6,10,MIA
JAX,18,3,CAR
KC,14,16,LAC
LAC,19,22,KC
LAR,13,6,HOU
LV,23,17,NE
MIA,20,19,IND
MIN,11,7,CHI
NE,12,19,LV
NO,26,20,ARI
NYG,25,21,WSH
NYJ,19,30,PIT
PHI,8,13,DAL
PIT,17,4,NYJ
SEA,8,8,SF
SF,22,23,SEA
TB,15,27,ATL
TEN,30,12,DEN
WSH,9,29,NYG
