team,offensive_rank,defensive_rank,opponent
ARI,21,18,CAR
ATL,23,9,MIN
BAL,6,27,CLE
BUF,5,14,NYJ
CAR,24,14,ARI
CHI,13,6,DET
CIN,27,11,JAX
CLE,28,24,BAL
DAL,7,25,NYG
DEN,16,15,IND
DET,4,10,CHI
GB,10,26,WSH
HOU,26,23,TB
IND,6,10,DEN
JAX,18,4,CIN
KC,14,16,PHI
LAC,19,22,LV
LAR,14,6,TEN
LV,22,17,LAC
MIA,20,18,NE
MIN,11,7,ATL
NE,12,19,MIA
NO,26,20,SF
NYG,25,21,DAL
NYJ,18,29,BUF
PHI,9,13,KC
PIT,17,5,SEA
SEA,8,8,PIT
SF,22,22,NO
TB,15,26,HOU
TEN,29,12,LAR
WSH,10,28,GB
