team,offensive_rank,defensive_rank,opponent
ARI,22,18,ATL
ATL,25,7,ARI
BAL,3,30,NE
BUF,2,14,CLE
CAR,26,13,TB
CHI,12,3,GB
CIN,30,10,MIA
CLE,31,26,BUF
DAL,5,27,LAC
DEN,16,15,JAX
DET,1,8,PIT
GB,9,28,CHI
HOU,29,25,LV
IND,4,9,SF
JAX,18,1,DEN
KC,14,16,TEN
LAC,20,23,DAL
LAR,13,4,SEA
LV,24,17,HOU
MIA,21,19,CIN
MIN,10,5,NYG
NE,11,20,BAL
NO,28,21,NYJ
NYG,27,22,MIN
NYJ,19,32,NO
PHI,7,12,WSH
PIT,17,2,DET
SEA,6,6,LAR
SF,23,24,IND
TB,15,29,CAR
TEN,32,11,KC
WSH,8,31,PHI
