team,offensive_rank,defensive_rank,opponent
ARI,22,18,IND
ATL,25,7,BUF
BAL,3,30,LAR
BUF,2,14,ATL
CAR,26,13,DAL
CHI,12,3,WSH
CIN,30,10,GB
CLE,31,26,PIT
DAL,5,27,CAR
DEN,16,15,NYJ
DET,1,8,KC
GB,9,28,CIN
HOU,29,25,BYE
IND,4,9,ARI
JAX,18,1,SEA
KC,14,16,DET
LAC,20,23,MIA
LAR,13,4,BAL
LV,24,17,TEN
MIA,21,19,LAC
MIN,10,5,BYE
NE,11,20,NO
NO,28,21,NE
NYG,27,22,PHI
NYJ,19,32,DEN
PHI,7,12,NYG
PIT,17,2,CLE
SEA,6,6,JAX
SF,23,24,TB
TB,15,29,SF
TEN,32,11,LV
WSH,8,31,CHI
