team,offensive_rank,defensive_rank,opponent
ARI,20,18,SF
ATL,23,9,CAR
BAL,6,26,DET
BUF,6,14,MIA
CAR,24,14,ATL
CHI,13,6,DAL
CIN,26,12,MIN
CLE,27,24,GB
DAL,8,24,CHI
DEN,16,15,LAC
DET,5,10,BAL
GB,11,25,CLE
HOU,26,23,JAX
IND,7,11,TEN
JAX,18,5,HOU
KC,14,16,NYG
LAC,19,21,DEN
LAR,14,7,PHI
LV,22,17,WSH
MIA,20,18,BUF
MIN,12,8,CIN
NE,12,19,PIT
NO,25,20,SEA
NYG,24,20,KC
NYJ,18,28,TB
PHI,9,13,LAR
PIT,17,6,NE
SEA,8,8,NO
SF,21,22,ARI
TB,15,26,NYJ
TEN,28,12,IND
WSH,10,27,LV
