team,offensive_rank,defensive_rank,opponent
ARI,20,17,SEA
ATL,22,10,WSH
BAL,7,26,KC
BUF,6,15,NO
CAR,23,14,NE
CHI,13,7,LV
CIN,26,12,DEN
CLE,26,23,DET
DAL,8,24,GB
DEN,16,15,CIN
DET,6,10,CLE
GB,11,24,DAL
HOU,25,22,TEN
IND,8,11,LAR
JAX,17,6,SF
KC,15,16,BAL
LAC,19,21,NYG
LAR,14,8,IND
LV,22,17,CHI
MIA,20,18,NYJ
MIN,12,8,PIT
NE,12,19,CAR
NO,24,20,BUF
NYG,24,20,LAC
NYJ,18,27,MIA
PHI,10,13,TB
PIT,17,6,MIN
SEA,9,9,ARI
SF,21,22,JAX
TB,15,25,PHI
TEN,27,12,HOU
WSH,10,26,ATL
