team,offensive_rank,defensive_rank,opponent
ARI,22,18,TB
ATL,25,7,NYJ
BAL,3,30,CIN
BUF,2,14,PIT
CAR,26,13,LAR
CHI,12,3,PHI
CIN,30,10,BAL
CLE,31,26,SF
DAL,5,27,KC
DEN,16,15,WSH
DET,1,8,GB
GB,9,28,DET
HOU,29,25,IND
IND,4,9,HOU
JAX,18,1,TEN
KC,14,16,DAL
LAC,20,23,LV
LAR,13,4,CAR
LV,24,17,LAC
MIA,21,19,NO
MIN,10,5,SEA
NE,11,20,NYG
NO,28,21,MIA
NYG,27,22,NE
NYJ,19,32,ATL
PHI,7,12,CHI
PIT,17,2,BUF
SEA,6,6,MIN
SF,23,24,CLE
TB,15,29,ARI
TEN,32,11,JAX
WSH,8,31,DEN
