team,offensive_rank,defensive_rank,opponent
ARI,22,18,LAR
ATL,25,7,NO
BAL,3,30,PIT
BUF,2,14,NYJ
CAR,26,13,TB
CHI,12,3,DET
CIN,30,10,CLE
CLE,31,26,CIN
DAL,5,27,NYG
DEN,16,15,LAC
DET,1,8,CHI
GB,9,28,MIN
HOU,29,25,IND
IND,4,9,HOU
JAX,18,1,TEN
KC,14,16,LV
LAC,20,23,DEN
LAR,13,4,ARI
LV,24,17,KC
MIA,21,19,NE
MIN,10,5,GB
NE,11,20,MIA
NO,28,21,ATL
NYG,27,22,DAL
NYJ,19,32,BUF
PHI,7,12,WSH
PIT,17,2,BAL
SEA,6,6,SF
SF,23,24,SEA
TB,15,29,CAR
TEN,32,11,JAX
WSH,8,31,PHI
