id,name,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
-16016,Vikings D/ST,6.93782125,0.0,0.0,0.0,7.39793544,0.0,6.21980848,5.7938685,3.53852428,4.51787351,5.38710408,3.88185783,4.61591417,4.86858309,3.77595881,7.02517627,3.68238978
4426385,Zach Charbonnet,10.7,10.63,10.28,10.16,9.20379571,9.89545065,9.70444366,0.0,11.02720932,11.27539839,9.43186217,11.63031102,10.69948757,10.32201454,10.43015247,9.77116855,10.30971608
4361741,Brock Purdy,16.78,17.63,0.0,18.84,16.89290443,19.87203717,17.45511193,16.97433195,18.51310017,17.42447236,18.92775949,19.68344768,17.9930502,0.0,19.83247616,19.21081133,19.89043179
3128720,Nick Chubb,9.34272836,10.13,12.57,9.7,10.088223,0.0,9.43513676,10.94857462,9.2432058,10.18232805,11.06530542,11.00380816,9.6571636,10.0196233,10.67122235,10.85684262,10.57539764
3915511,Joe Burrow,19.98439198,20.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16017,Patriots D/ST,6.52547773,0.0,0.0,0.0,2.59995376,5.78593048,6.64315973,5.59931489,4.45604268,3.51627013,7.3621756,6.66184378,6.72890123,0.0,3.62911082,3.69437752,7.31041003
4360248,Kyle Pitts Sr.,12.9,0.0,0.0,0.0,0.0,9.01308166,8.74589753,9.03614832,9.04099755,8.8825757,8.52343385,8.36160269,8.25636132,8.64688025,9.16047414,8.38716774,8.18822972
4032473,Rashid Shaheed,9.3,11.23,8.83,9.28,9.84704495,9.99561296,11.33627627,11.69537491,10.42330501,11.09885045,0.0,10.08681484,11.96451345,11.70039982,11.09750054,10.81850427,10.83701792
4240657,Michael Carter,0.0,0.0,0.0,0.1,0.4914484,12.31831282,9.3952438,0.0,10.60484218,3.55368517,3.83606063,3.64496212,3.75294995,3.43020682,3.30741923,3.49892386,4.06214275
-16034,Texans D/ST,5.90158976,0.0,0.0,0.0,5.6116421,0.0,5.32580248,5.08830166,5.85858532,6.48365726,7.35321395,4.94313452,5.7201162,4.57285679,7.6269729,8.58347589,7.10825904
-16005,Browns D/ST,4.29914125,0.0,0.0,0.0,7.4429653,6.59731523,5.55458555,5.41613514,0.0,7.04752654,4.182174,7.25967699,4.70378213,6.92814768,5.62438244,4.51981626,6.12455107
-16002,Bills D/ST,-2.0,0.0,0.0,0.0,5.899087,4.93744603,0.0,5.64733875,3.20638882,4.48571512,3.50811166,4.61252116,5.09225895,7.18699475,4.49961503,6.46170507,5.56120279
4569587,Wan'Dale Robinson,6.69,8.98,9.32,8.54,10.6326072,10.45151741,11.21614061,11.79452544,12.30208134,12.41240456,11.99154593,12.64611445,12.69501472,0.0,12.94905308,11.59966836,11.57492187
15835,Zach Ertz,6.17,6.26,6.68,6.93,8.63087877,8.58807188,9.86667419,9.24070737,9.04982311,9.29200708,9.53999983,0.0,8.39896384,8.7132403,8.74950119,8.75111047,9.77254031
4429059,Woody Marks,4.35,3.49,5.09,4.28,12.04534007,0.0,9.12950958,10.39459248,8.92579639,9.76703502,10.46816893,10.50102317,9.38243214,9.71638197,10.15667339,10.27480666,10.09091033
4361432,Romeo Doubs,5.78,6.08,7.43,7.16,0.0,10.84545854,11.66516581,11.49040472,11.86834883,10.40159276,10.36600199,10.28881582,11.10268731,10.85404934,10.01615905,10.9075159,11.08647023
4428718,Tre Tucker,4.32,4.39,3.92,4.53,10.43411658,10.39893867,10.91886825,0.0,9.80329103,9.20583122,11.25498753,9.41048608,9.61624526,9.23050476,9.77900985,9.08245668,9.72343182
4371733,Kenneth Gainwell,6.47411447,10.33,8.64,8.15,0.0,11.92699276,13.02021448,11.83849315,11.76187387,11.79780788,13.18178338,12.37803585,12.40144298,12.44733519,13.66023468,11.89635445,11.25795431
4432577,C.J. Stroud,16.47056734,14.41,15.38,14.13,17.63229448,0.0,17.72362642,19.5477698,16.15551157,17.88192131,18.63987997,19.30695997,18.07655079,18.09825424,18.27764907,18.04817737,17.7260377
3051876,Evan Engram,5.1,7.95,5.2,5.9,7.67163678,8.89209616,9.3177706,10.64420974,8.81001835,9.24136543,9.89770239,0.0,10.33556035,9.27943339,9.53738712,9.42796857,9.93185307
-16014,Rams D/ST,5.60232673,0.0,0.0,0.0,4.92184257,4.26138981,6.69667136,0.0,6.72257193,5.13873168,5.75342079,4.8730183,7.13730352,7.07509862,4.64567344,5.68303418,5.98165557
4697745,Tyler Loop,8.03,8.81,8.74,8.35,7.768783,8.47108761,0.0,8.4909907,8.89674123,8.12651682,8.31023786,8.72661579,9.11686016,8.22828139,8.99045832,8.43932533,8.56733226
4360516,Tyrone Tracy Jr.,13.34324133,13.07,8.13,7.79,0.0,6.27666082,4.29974189,4.75273964,5.09571178,5.15026221,4.83509358,4.79872126,4.68178795,0.0,5.11319897,4.81079064,4.90441036
4429275,Trey Benson,8.5,5.93,7.07,6.94,15.48943235,0.0,0.0,0.0,0.0,12.82410285,14.62700594,13.65922214,13.55695026,12.61986458,12.1265028,13.43717817,15.85764225
3116385,Joe Mixon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17372,Chris Boswell,8.02317085,8.58,8.72,8.72,0.0,8.25260894,9.02150918,8.72070148,8.42278773,8.4276844,9.14936447,8.38856594,8.62593228,8.73634667,9.05330026,8.47679859,8.33391637
4686361,Cam Little,8.59,8.13,8.25,7.97,7.72811272,8.09565456,7.52885317,0.0,7.92810904,7.46120598,7.97918675,7.86760413,8.06642927,7.85258086,8.17382454,7.46487071,7.7292938
4241372,Hollywood Brown,0.0,0.0,0.0,0.0,7.70486875,8.28592056,6.67378352,7.36235318,6.97366255,0.0,6.38397936,7.05210323,7.66051319,6.29551208,6.58740234,6.78082483,6.38573895
3929645,Juwan Johnson,4.64,4.47,9.54,9.02,8.89365373,7.91578589,7.53503127,7.7906863,6.94296209,7.37327139,0.0,6.65705752,7.91366724,7.81170744,7.3548855,7.12270716,7.1756871
4372071,Hassan Haskins,0.44106274,3.22,0.0,1.37,1.42345441,10.99675344,4.68703668,4.80980852,5.21341808,4.54414949,4.65464353,0.0,0.53770705,0.49929933,0.4567753,0.56638022,0.429929
4362249,Jayden Reed,5.96,9.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5134342,9.46308427,9.39402203,10.08238443,9.91897558,9.11007017,9.94730906,10.13140009
4595348,Malik Nabers,18.99367796,13.6,13.39,12.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4040655,Darnell Mooney,0.0,7.52,9.77,8.55,0.0,9.79596142,10.18652852,10.57304367,10.46286735,10.29386815,9.9267311,9.72892103,9.62519539,10.04600703,10.61288447,9.74550928,9.47347433
4688813,Josh Downs,3.2,7.35,7.63,7.81,7.70973973,7.98754302,9.75362721,9.67743138,9.92599369,9.38849535,0.0,10.64968273,9.45016067,10.11890018,10.38434692,10.26836946,10.01760108
-16033,Ravens D/ST,-7.0,0.0,0.0,0.0,4.1825666,2.69820064,0.0,3.32791973,4.0242332,5.17751989,5.63520825,6.2687264,7.14441899,4.2842155,6.73245277,3.87824839,2.74602339
4431280,Troy Franklin,3.77,5.08,7.76,7.65,10.66093908,9.97056867,8.34093493,9.55850424,7.84708468,8.31116905,8.81570731,0.0,9.20216909,8.3202895,8.56540013,8.42417072,8.82159666
3045523,Kendrick Bourne,0.0,6.2,4.31,5.47,5.55846489,7.57299236,8.04970353,6.87255439,7.07925624,6.95279107,7.17978993,7.25876945,6.82247005,0.0,1.24491643,1.3255282,1.30015621
3116406,Tyreek Hill,8.0,12.51,12.27,12.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4360310,Trevor Lawrence,15.9,14.96,14.3,14.19,15.21816167,17.03838793,15.08039649,0.0,16.72365919,14.74048861,17.07246557,16.89800525,17.72493271,17.33385969,18.05017933,14.62188735,16.95576264
2473037,Jason Myers,8.0,7.12,8.14,7.26,8.069544,8.01290529,8.05653715,0.0,8.4509321,8.48419038,7.93218706,8.56445065,8.18991853,8.02569085,8.34001524,8.06178539,8.41271899
4249087,Matt Gay,8.16507385,8.3,8.78,8.3,7.63635257,8.22872873,8.73324009,8.03457176,8.2299741,8.33380387,8.69906948,0.0,7.89927008,7.90070108,8.03720853,8.25443494,8.8543627
4689114,Jaxson Dart,0.9,0.0,0.0,0.0,16.16403803,13.89151664,13.88377298,15.89729249,17.56185541,16.79064066,16.55060087,16.78040659,16.36161111,0.0,18.13401691,15.59387957,15.86518799
4808766,Mason Taylor,4.65,4.68,3.68,4.65,7.95339627,9.53470284,8.55339211,8.85898338,0.0,8.06151339,9.14196278,9.13994682,7.84713236,9.30210951,8.5413112,8.50395651,9.09838071
3045147,James Conner,14.4,14.09,12.4,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3059915,Kareem Hunt,5.41,7.81,8.3,6.92,6.01513029,6.2840126,7.09284224,6.89284614,6.81260732,0.0,5.63305405,6.27753974,7.51428672,5.907777,7.07907068,7.23587894,5.86123118
4360438,Brandon Aiyuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7845133,8.24316851,8.16377831
4373626,Tyler Allgeier,2.4,6.47,7.76,6.45,0.0,6.92178953,7.04855216,8.57017838,6.15918398,6.2898855,6.64063211,6.90489299,7.20561902,6.26879348,6.40611337,6.81561813,5.99171412
4566192,Joshua Karty,7.90790572,7.98,7.62,8.31,8.03133325,8.71241473,7.75538147,0.0,8.12470042,8.11057483,7.94379778,7.98684501,7.94342508,7.88701138,8.05183328,7.81804265,7.56802997
-16013,Raiders D/ST,4.33647447,0.0,0.0,0.0,4.22096183,6.29636874,3.52981111,0.0,5.68141239,4.30716489,3.57338969,6.16855892,5.6945393,4.84568281,5.62722745,5.3226826,6.33922375
-16030,Jaguars D/ST,6.42958845,0.0,0.0,0.0,5.00472629,6.10530685,4.08778285,0.0,7.19174166,5.21046045,6.22063545,6.38682479,7.26068268,4.470232,7.95952532,5.25536442,4.43517112
4882093,Bhayshul Tuten,4.89,4.0,6.77,6.35,4.68148586,4.47450145,4.02329219,0.0,4.53239813,3.91511638,4.61834631,4.4589053,4.72358887,4.34932649,4.73063856,3.91460817,4.24543557
4241474,Brian Robinson Jr.,4.7,0.0,0.0,0.0,3.99409329,4.41523863,4.35154702,3.89413317,4.40802818,4.04594177,4.44962927,4.33454667,4.27248871,0.0,4.82786339,4.17157472,4.80445178
4433970,J.J. McCarthy,14.79,15.1,0.0,0.0,0.0,0.0,16.41081702,16.07453687,17.12184226,18.5188237,17.25453277,16.52456501,16.04173448,18.56019517,20.14825028,15.83384851,17.50510951
4819231,Kaleb Johnson,5.05755018,1.92,0.93,2.12,0.0,0.38672713,2.28698011,1.94565498,1.79602654,1.99935294,2.37148439,2.01909076,2.09325433,2.02563577,2.44893521,1.81322638,1.82841299
5083076,Harold Fannin Jr.,3.41087269,7.57,7.42,7.71,7.9451357,9.45994301,10.99041419,10.72938667,0.0,9.41275812,10.14786229,9.34300421,9.89459433,9.42349006,9.95663899,9.82860126,9.24321411
