Team,ByeWeek
PIT,5
CHI,5
GB,5
ATL,5
MIN,6
HOU,6
BUF,7
BAL,7
LV,8
SEA,8
ARI,8
DET,8
LAR,8
JAX,8
NYJ,9
CLE,9
PHI,9
TB,9
CIN,10
TEN,10
KC,10
DAL,10
IND,11
NO,11
MIA,12
DEN,12
LAC,12
WAS,12
NE,14
NYG,14
SF,14
CAR,14
