week,home_team,away_team,temperature,gust,precipitation,home_team_score,away_team_score,indoor,neutral_site,country,city,state,date
1,KC,BAL,72,21,0.0,27,20,False,False,USA,Kansas City,MO,2024-09-06T00:40Z
1,PHI,GB,75,8,0.0,34,29,False,True,Brazil,Sao Paulo,,2024-09-07T00:15Z
1,ATL,PIT,,,,10,18,True,False,USA,Atlanta,GA,2024-09-08T17:00Z
1,BUF,ARI,59,37,0.0,34,28,False,False,USA,Orchard Park,NY,2024-09-08T17:00Z
1,CHI,TEN,69,19,0.0,24,17,False,False,USA,Chicago,IL,2024-09-08T17:00Z
1,CIN,NE,65,10,0.0,10,16,False,False,USA,Cincinnati,OH,2024-09-08T17:00Z
1,IND,HOU,,,,27,29,True,False,USA,Indianapolis,IN,2024-09-08T17:00Z
1,MIA,JAX,90,20,0.0,20,17,False,False,USA,Miami Gardens,FL,2024-09-08T17:00Z
1,NO,CAR,,,,47,10,True,False,USA,New Orleans,LA,2024-09-08T17:00Z
1,NYG,MIN,67,24,0.0,6,28,False,False,USA,East Rutherford,NJ,2024-09-08T17:00Z
1,LAC,LV,100,22,0.0,22,10,False,False,USA,Inglewood,CA,2024-09-08T20:05Z
1,SEA,DEN,74,17,0.0,26,20,False,False,USA,Seattle,WA,2024-09-08T20:05Z
1,CLE,DAL,64,17,0.0,17,33,False,False,USA,Cleveland,OH,2024-09-08T20:25Z
1,TB,WSH,83,13,0.02,37,20,False,False,USA,Tampa,FL,2024-09-08T20:25Z
1,DET,LAR,,,,26,20,True,False,USA,Detroit,MI,2024-09-09T00:20Z
1,SF,NYJ,72,22,0.0,32,19,False,False,USA,Santa Clara,CA,2024-09-10T00:15Z
2,MIA,BUF,78,9,0.0,10,31,False,False,USA,Miami Gardens,FL,2024-09-13T00:15Z
2,DAL,NO,,,,19,44,True,False,USA,Arlington,TX,2024-09-15T17:00Z
2,DET,TB,,,,16,20,True,False,USA,Detroit,MI,2024-09-15T17:00Z
2,GB,IND,84,12,0.0,16,10,False,False,USA,Green Bay,WI,2024-09-15T17:00Z
2,TEN,NYJ,82,19,0.01,17,24,False,False,USA,Nashville,TN,2024-09-15T17:00Z
2,MIN,SF,,,,23,17,True,False,USA,Minneapolis,MN,2024-09-15T17:00Z
2,NE,SEA,77,14,0.0,20,23,False,False,USA,Foxborough,MA,2024-09-15T17:00Z
2,WSH,NYG,78,19,0.0,21,18,False,False,USA,Landover,MD,2024-09-15T17:00Z
2,CAR,LAC,81,31,0.0,3,26,False,False,USA,Charlotte,NC,2024-09-15T17:00Z
2,JAX,CLE,81,23,0.0,13,18,False,False,USA,Jacksonville,FL,2024-09-15T17:00Z
2,BAL,LV,78,19,0.0,23,26,False,False,USA,Baltimore,MD,2024-09-15T17:00Z
2,ARI,LAR,,,,41,10,True,False,USA,Glendale,AZ,2024-09-15T20:05Z
2,DEN,PIT,86,16,0.0,6,13,False,False,USA,Denver,CO,2024-09-15T20:25Z
2,KC,CIN,85,17,0.01,26,25,False,False,USA,Kansas City,MO,2024-09-15T20:25Z
2,HOU,CHI,,,,19,13,True,False,USA,Houston,TX,2024-09-16T00:20Z
2,PHI,ATL,72,16,0.0,21,22,False,False,USA,Philadelphia,PA,2024-09-17T00:15Z
3,NYJ,NE,71,14,0.0,24,3,False,False,USA,East Rutherford,NJ,2024-09-20T00:15Z
3,CLE,NYG,80,4,0.0,15,21,False,False,USA,Cleveland,OH,2024-09-22T17:00Z
3,TEN,GB,78,19,0.02,14,30,False,False,USA,Nashville,TN,2024-09-22T17:00Z
3,IND,CHI,,,,21,16,True,False,USA,Indianapolis,IN,2024-09-22T17:00Z
3,MIN,HOU,,,,34,7,True,False,USA,Minneapolis,MN,2024-09-22T17:00Z
3,NO,PHI,,,,12,15,True,False,USA,New Orleans,LA,2024-09-22T17:00Z
3,PIT,LAC,78,12,0.0,20,10,False,False,USA,Pittsburgh,PA,2024-09-22T17:00Z
3,TB,DEN,86,12,0.0,7,26,False,False,USA,Tampa,FL,2024-09-22T17:00Z
3,LV,CAR,,,,22,36,True,False,USA,Las Vegas,NV,2024-09-22T20:05Z
3,SEA,MIA,64,9,0.0,24,3,False,False,USA,Seattle,WA,2024-09-22T20:05Z
3,DAL,BAL,,,,25,28,True,False,USA,Arlington,TX,2024-09-22T20:25Z
3,LAR,SF,75,25,0.0,27,24,False,False,USA,Inglewood,CA,2024-09-22T20:25Z
3,ARI,DET,,,,13,20,True,False,USA,Glendale,AZ,2024-09-22T20:25Z
3,ATL,KC,,,,17,22,True,False,USA,Atlanta,GA,2024-09-23T00:20Z
3,BUF,JAX,70,8,0.0,47,10,False,False,USA,Orchard Park,NY,2024-09-23T23:30Z
3,CIN,WSH,70,18,0.0,33,38,False,False,USA,Cincinnati,OH,2024-09-24T00:15Z
4,NYG,DAL,68,9,0.0,15,20,False,False,USA,East Rutherford,NJ,2024-09-27T00:15Z
4,ATL,NO,,,,26,24,True,False,USA,Atlanta,GA,2024-09-29T17:00Z
4,CHI,LAR,66,24,0.0,24,18,False,False,USA,Chicago,IL,2024-09-29T17:00Z
4,GB,MIN,69,25,0.0,29,31,False,False,USA,Green Bay,WI,2024-09-29T17:00Z
4,IND,PIT,,,,27,24,True,False,USA,Indianapolis,IN,2024-09-29T17:00Z
4,NYJ,DEN,64,21,0.01,9,10,False,False,USA,East Rutherford,NJ,2024-09-29T17:00Z
4,TB,PHI,86,16,0.0,33,16,False,False,USA,Tampa,FL,2024-09-29T17:00Z
4,CAR,CIN,78,16,0.0,24,34,False,False,USA,Charlotte,NC,2024-09-29T17:00Z
4,HOU,JAX,,,,24,20,True,False,USA,Houston,TX,2024-09-29T17:00Z
4,ARI,WSH,,,,14,42,True,False,USA,Glendale,AZ,2024-09-29T20:05Z
4,SF,NE,75,14,0.0,30,13,False,False,USA,Santa Clara,CA,2024-09-29T20:05Z
4,LV,CLE,,,,20,16,True,False,USA,Las Vegas,NV,2024-09-29T20:25Z
4,LAC,KC,75,24,0.0,10,17,False,False,USA,Inglewood,CA,2024-09-29T20:25Z
4,BAL,BUF,67,16,0.0,35,10,False,False,USA,Baltimore,MD,2024-09-30T00:20Z
4,MIA,TEN,83,13,0.0,12,31,False,False,USA,Miami Gardens,FL,2024-09-30T23:30Z
4,DET,SEA,,,,42,29,True,False,USA,Detroit,MI,2024-10-01T00:15Z
5,ATL,TB,,,,36,30,True,False,USA,Atlanta,GA,2024-10-04T00:15Z
5,MIN,NYJ,58,23,0.0,23,17,False,True,England,London,,2024-10-06T13:30Z
5,CHI,CAR,72,28,0.0,36,10,False,False,USA,Chicago,IL,2024-10-06T17:00Z
5,CIN,BAL,80,25,0.0,38,41,False,False,USA,Cincinnati,OH,2024-10-06T17:00Z
5,NE,MIA,64,10,0.0,10,15,False,False,USA,Foxborough,MA,2024-10-06T17:00Z
5,WSH,CLE,74,14,0.0,34,13,False,False,USA,Landover,MD,2024-10-06T17:00Z
