week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,18.8,2.2,18.0,6.0,92.3,24.0
2,26.9,24.4,62.1,10.0,9.0,94.4,31.0
3,15.0,17.4,23.3,6.1,4.0,113.7,17.0
4,0.0,34.9,11.2,6.7,12.0,81.8,23.0
5,14.4,52.4,31.7,1.2,9.0,92.3,30.0
6,18.4,32.6,56.7,41.0,7.0,72.6,38.0
7,10.7,23.7,20.0,3.0,13.0,93.2,23.0
8,13.5,16.5,32.9,10.1,0.0,101.3,13.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,24.1,56.6,27.7,2.2,9.0,75.6,39.0
11,12.6,19.9,26.6,14.0,23.0,90.3,31.0
12,18.0,21.4,42.6,7.5,6.0,103.3,17.0
13,0.0,31.3,23.6,13.9,7.0,96.8,14.0
14,16.6,14.4,46.7,2.0,5.0,88.2,23.0
15,5.0,22.1,11.8,9.9,3.0,94.7,3.0
16,6.4,26.3,8.1,13.5,5.0,66.2,17.0
17,0.2,15.0,16.6,11.6,5.0,113.3,10.0
