team,offensive_rank,defensive_rank,opponent
ARI,22,18,BYE
ATL,25,7,MIA
BAL,3,30,CHI
BUF,2,14,CAR
CAR,26,13,BUF
CHI,12,3,BAL
CIN,30,10,NYJ
CLE,31,26,NE
DAL,5,27,DEN
DEN,16,15,DAL
DET,1,8,BYE
GB,9,28,PIT
HOU,29,25,SF
IND,4,9,TEN
JAX,18,1,BYE
KC,14,16,WSH
LAC,20,23,MIN
LAR,13,4,BYE
LV,24,17,BYE
MIA,21,19,ATL
MIN,10,5,LAC
NE,11,20,CLE
NO,28,21,TB
NYG,27,22,PHI
NYJ,19,32,CIN
PHI,7,12,NYG
PIT,17,2,GB
SEA,6,6,BYE
SF,23,24,HOU
TB,15,29,NO
TEN,32,11,IND
WSH,8,31,KC
