team,offensive_rank,defensive_rank,opponent
ARI,20,13,
ATL,31,5,
BAL,1,25,
BUF,4,14,
CAR,19,9,
CHI,9,6,
CIN,24,10,
CLE,30,27,
DAL,10,28,
DEN,17,11,
DET,2,15,
GB,18,21,
HOU,32,26,
IND,3,8,
JAX,15,1,
KC,21,22,
LAC,14,19,
LAR,11,12,
LV,26,16,
MIA,25,30,
MIN,6,3,
NE,22,17,
NO,29,23,
NYG,27,29,
NYJ,16,31,
PHI,8,18,
PIT,12,2,
SEA,5,4,
SF,23,20,
TB,13,24,
TEN,28,7,
WSH,7,32,
