team,offensive_rank,defensive_rank,opponent
ARI,22,18,TEN
ATL,25,7,BYE
BAL,3,30,HOU
BUF,2,14,NE
CAR,26,13,MIA
CHI,12,3,BYE
CIN,30,10,DET
CLE,31,26,MIN
DAL,5,27,NYJ
DEN,16,15,PHI
DET,1,8,CIN
GB,9,28,BYE
HOU,29,25,BAL
IND,4,9,LV
JAX,18,1,KC
KC,14,16,JAX
LAC,20,23,WSH
LAR,13,4,SF
LV,24,17,IND
MIA,21,19,CAR
MIN,10,5,CLE
NE,11,20,BUF
NO,28,21,NYG
NYG,27,22,NO
NYJ,19,32,DAL
PHI,7,12,DEN
PIT,17,2,BYE
SEA,6,6,TB
SF,23,24,LAR
TB,15,29,SEA
TEN,32,11,ARI
WSH,8,31,LAC
