team,offensive_rank,defensive_rank,opponent
ARI,22,18,SF
ATL,25,7,CAR
BAL,3,30,CLE
BUF,2,14,TB
CAR,26,13,ATL
CHI,12,3,MIN
CIN,30,10,PIT
CLE,31,26,BAL
DAL,5,27,LV
DEN,16,15,KC
DET,1,8,PHI
GB,9,28,NYG
HOU,29,25,TEN
IND,4,9,BYE
JAX,18,1,LAC
KC,14,16,DEN
LAC,20,23,JAX
LAR,13,4,SEA
LV,24,17,DAL
MIA,21,19,WSH
MIN,10,5,CHI
NE,11,20,NYJ
NO,28,21,BYE
NYG,27,22,GB
NYJ,19,32,NE
PHI,7,12,DET
PIT,17,2,CIN
SEA,6,6,LAR
SF,23,24,ARI
TB,15,29,BUF
TEN,32,11,HOU
WSH,8,31,MIA
