team,offensive_rank,defensive_rank,opponent
ARI,20,13,LAR
ATL,31,5,SEA
BAL,1,25,PIT
BUF,4,14,CIN
CAR,19,9,BYE
CHI,9,6,GB
CIN,24,10,BUF
CLE,30,27,TEN
DAL,10,28,DET
DEN,17,11,LV
DET,2,15,DAL
GB,18,21,CHI
HOU,32,26,KC
IND,3,8,JAX
JAX,15,1,IND
KC,21,22,HOU
LAC,14,19,PHI
LAR,11,12,ARI
LV,26,16,DEN
MIA,25,30,NYJ
MIN,6,3,WSH
NE,22,17,BYE
NO,29,23,TB
NYG,27,29,BYE
NYJ,16,31,MIA
PHI,8,18,LAC
PIT,12,2,BAL
SEA,5,4,ATL
SF,23,20,BYE
TB,13,24,NO
TEN,28,7,CLE
WSH,7,32,MIN
