team,offensive_rank,defensive_rank,opponent
ARI,20,13,DAL
ATL,31,5,NE
BAL,1,25,MIA
BUF,4,14,KC
CAR,19,9,GB
CHI,9,6,CIN
CIN,24,10,CHI
CLE,30,27,BYE
DAL,10,28,ARI
DEN,17,11,HOU
DET,2,15,MIN
GB,18,21,CAR
HOU,32,26,DEN
IND,3,8,PIT
JAX,15,1,LV
KC,21,22,BUF
LAC,14,19,TEN
LAR,11,12,NO
LV,26,16,JAX
MIA,25,30,BAL
MIN,6,3,DET
NE,22,17,ATL
NO,29,23,LAR
NYG,27,29,SF
NYJ,16,31,BYE
PHI,8,18,BYE
PIT,12,2,IND
SEA,5,4,WSH
SF,23,20,NYG
TB,13,24,BYE
TEN,28,7,LAC
WSH,7,32,SEA
