team,offensive_rank,defensive_rank,opponent
ARI,20,13,LAR
ATL,31,5,NO
BAL,1,25,PIT
BUF,4,14,NYJ
CAR,19,9,TB
CHI,9,6,DET
CIN,24,10,CLE
CLE,30,27,CIN
DAL,10,28,NYG
DEN,17,11,LAC
DET,2,15,CHI
GB,18,21,MIN
HOU,32,26,IND
IND,3,8,HOU
JAX,15,1,TEN
KC,21,22,LV
LAC,14,19,DEN
LAR,11,12,ARI
LV,26,16,KC
MIA,25,30,NE
MIN,6,3,GB
NE,22,17,MIA
NO,29,23,ATL
NYG,27,29,DAL
NYJ,16,31,BUF
PHI,8,18,WSH
PIT,12,2,BAL
SEA,5,4,SF
SF,23,20,SEA
TB,13,24,CAR
TEN,28,7,JAX
WSH,7,32,PHI
