id,name,team,position,bye_week,fantasy_points,injury_status,drafted,locked,data_method,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
4239996,Travis Etienne Jr.,JAX,RB,8,190.51921495000002,ACTIVE,0,0,weekly,10.29738969,13.56658258,12.73034348,10.54443154,10.95161228,10.8879477,10.63873216,0.0,11.60816463,10.97835252,10.57175065,10.56748561,12.24056045,11.25011773,11.73404893,10.51628585,10.9297249
3050478,Jake Elliott,PHI,K,9,136.39988326,ACTIVE,0,0,weekly,8.0,12.0,3.0,8.49059828,8.40285513,8.62890032,8.20481184,8.75541911,0.0,8.06026394,8.54935357,8.84653099,8.83025687,8.27489676,8.89847993,8.56445098,8.42067292
-16007,Broncos D/ST,DEN,DST,12,98.11857903000002,ACTIVE,0,0,weekly,16.0,7.46104677,4.30124945,7.29270658,4.79791596,7.55271929,7.01051757,4.9053462,5.41504539,6.80680566,4.96681582,0.0,4.81292084,6.53833058,4.25097508,5.43229123,4.57413155
4361370,Chris Olave,NO,WR,11,235.94191363,ACTIVE,0,0,weekly,12.4,11.4,12.61860999,15.22806799,14.69126399,15.54235442,15.90767301,15.28366885,14.82028774,14.69590376,0.0,14.15156098,15.75344381,15.31820258,14.66132346,14.46725764,14.75474633
2577417,Dak Prescott,DAL,QB,10,258.29684911000004,ACTIVE,0,0,weekly,7.82,22.14,18.46034196,15.06963559,16.59824238,16.38892002,17.36423766,15.99625689,16.08321242,0.0,17.20455004,16.33017105,16.64614248,16.82947985,15.62933453,15.72286607,17.07744408
4428331,Rashee Rice,KC,WR,10,142.55593544,SUSPENSION,0,0,weekly,0.0,0.0,0.0,0.0,0.0,0.0,14.32696072,14.48527295,14.4232333,0.0,14.05588043,14.2578231,15.15090997,13.82640653,13.92741285,14.07469455,14.02734104
4241985,J.K. Dobbins,DEN,RB,12,232.15142789,ACTIVE,0,0,weekly,14.8,11.4419356,11.74914959,15.56882814,13.33894747,15.15504356,15.64606778,15.75130098,14.35058675,15.66369275,14.35128992,0.0,14.20422227,15.23526109,12.75356185,14.77559148,13.92320989
-16016,Vikings D/ST,MIN,DST,6,118.30212883,ACTIVE,0,0,weekly,6.93782125,5.0,6.98818418,6.84250389,7.38253053,0.0,5.68509199,4.51039058,3.44019749,3.31564515,6.12409138,4.28855495,7.11681978,5.28109184,5.4874028,7.3440818,3.56387063
15818,Keenan Allen,LAC,WR,12,231.00891603,ACTIVE,0,0,weekly,19.8,12.91283953,13.3649966,13.8754655,14.33390378,14.67900852,14.0987498,13.43698245,13.8551506,14.19724669,13.9072208,0.0,14.12171509,14.16917459,14.06589642,15.01272734,13.64463435
4428209,Ricky Pearsall,SF,WR,14,184.43392950999998,ACTIVE,0,0,weekly,14.8,9.2,12.11396403,11.82885402,11.97295936,10.80501635,10.05684349,10.26123383,10.39815025,10.47816975,10.2983858,10.36804316,9.95987545,0.0,10.36295561,10.61660924,11.08634635
17372,Chris Boswell,PIT,K,5,133.03963654,ACTIVE,0,0,weekly,8.02317085,12.0,8.25276644,7.97106618,0.0,8.10043712,8.46118598,7.89079066,8.31045692,7.97602636,8.58481721,8.39496849,8.24163716,8.04781487,8.72270456,8.12016623,7.97681788
4035687,Michael Pittman Jr.,IND,WR,11,176.1336058,ACTIVE,0,0,weekly,20.0,11.76724388,10.50425302,10.69712574,10.61056393,10.33658468,10.55556183,10.30795862,10.88411943,10.12808592,0.0,10.70846452,10.28904908,10.53048461,10.4966168,10.83563771,10.44592596
4635008,Keon Coleman,BUF,WR,7,161.72581308000002,ACTIVE,0,0,weekly,25.2,12.48073882,12.57584663,10.27473148,11.01576338,10.30090339,0.0,10.61776401,10.69300741,11.10531267,10.94612716,10.47122384,10.89724148,10.68302509,11.09226708,10.20518,10.85887968
-16023,Steelers D/ST,PIT,DST,5,95.73054678999999,ACTIVE,0,0,weekly,8.27423407,4.0,5.8141659,7.66246329,0.0,7.10516933,6.01426187,3.66570025,5.7822869,3.83369665,7.07732728,5.15813846,3.02070948,2.94493826,5.33502039,3.05070475,7.35632219
4360569,Jordan Mason,MIN,RB,6,188.16697317,ACTIVE,0,0,weekly,7.99510783,5.8,14.65808686,14.26953313,13.56397673,0.0,13.70102489,9.62935549,9.7790553,9.9726181,11.60586832,8.65703119,10.0026548,10.67358109,11.17659491,11.24347897,10.17906882
2977187,Cooper Kupp,SEA,WR,8,167.10094744,ACTIVE,0,0,weekly,3.5,16.0,10.50644443,10.66400034,11.16384932,10.7948271,10.5584412,0.0,11.20324526,10.61071939,10.90942808,10.71240075,10.40939435,10.42947258,10.94856488,10.85521982,10.7763474
4575131,Jacory Croskey-Merritt,WSH,RB,12,142.49054123,ACTIVE,0,0,weekly,9.52085554,8.41802864,11.185019,8.70117937,8.27323302,9.66167122,9.42102831,8.57424528,8.75307207,8.73052094,9.76314201,0.0,8.70364708,8.48804369,9.30753539,8.4933449,9.61987795
3042519,Aaron Jones Sr.,MIN,RB,6,134.33702657999999,INJURY_RESERVE,0,0,weekly,12.53131158,2.3,0.0,0.0,0.0,0.0,0.0,10.01425997,10.35815786,10.39831672,11.36783672,9.49436125,10.21979558,10.69388006,11.18244081,10.9023382,10.54360579
-16026,Seahawks D/ST,SEA,DST,8,100.8767751,ACTIVE,0,0,weekly,7.0,16.0,6.86666812,6.00064092,5.12876617,5.03902673,5.30880676,0.0,4.73006986,5.8126242,4.54026198,6.09853135,7.28179137,5.17917176,6.20527502,4.58447812,7.28634726
