team,offensive_rank,defensive_rank,opponent
ARI,20,13,JAX
ATL,31,5,NO
BAL,1,25,NYJ
BUF,4,14,HOU
CAR,19,9,SF
CHI,9,6,PIT
CIN,24,10,NE
CLE,30,27,LV
DAL,10,28,PHI
DEN,17,11,BYE
DET,2,15,NYG
GB,18,21,MIN
HOU,32,26,BUF
IND,3,8,KC
JAX,15,1,ARI
KC,21,22,IND
LAC,14,19,BYE
LAR,11,12,TB
LV,26,16,CLE
MIA,25,30,BYE
MIN,6,3,GB
NE,22,17,CIN
NO,29,23,ATL
NYG,27,29,DET
NYJ,16,31,BAL
PHI,8,18,DAL
PIT,12,2,CHI
SEA,5,4,TEN
SF,23,20,CAR
TB,13,24,LAR
TEN,28,7,SEA
WSH,7,32,BYE
