team,offensive_rank,defensive_rank,opponent
ARI,20,13,SEA
ATL,31,5,WSH
BAL,1,25,KC
BUF,4,14,NO
CAR,19,9,NE
CHI,9,6,LV
CIN,24,10,DEN
CLE,30,27,DET
DAL,10,28,GB
DEN,17,11,CIN
DET,2,15,CLE
GB,18,21,DAL
HOU,32,26,TEN
IND,3,8,LAR
JAX,15,1,SF
KC,21,22,BAL
LAC,14,19,NYG
LAR,11,12,IND
LV,26,16,CHI
MIA,25,30,NYJ
MIN,6,3,PIT
NE,22,17,CAR
NO,29,23,BUF
NYG,27,29,LAC
NYJ,16,31,MIA
PHI,8,18,TB
PIT,12,2,MIN
SEA,5,4,ARI
SF,23,20,JAX
TB,13,24,PHI
TEN,28,7,HOU
WSH,7,32,ATL
