team,offensive_rank,defensive_rank,opponent
ARI,20,13,TB
ATL,31,5,NYJ
BAL,1,25,CIN
BUF,4,14,PIT
CAR,19,9,LAR
CHI,9,6,PHI
CIN,24,10,BAL
CLE,30,27,SF
DAL,10,28,KC
DEN,17,11,WSH
DET,2,15,GB
GB,18,21,DET
HOU,32,26,IND
IND,3,8,HOU
JAX,15,1,TEN
KC,21,22,DAL
LAC,14,19,LV
LAR,11,12,CAR
LV,26,16,LAC
MIA,25,30,NO
MIN,6,3,SEA
NE,22,17,NYG
NO,29,23,MIA
NYG,27,29,NE
NYJ,16,31,ATL
PHI,8,18,CHI
PIT,12,2,BUF
SEA,5,4,MIN
SF,23,20,CLE
TB,13,24,ARI
TEN,28,7,JAX
WSH,7,32,DEN
