team,offensive_rank,defensive_rank,opponent
ARI,20,13,HOU
ATL,31,5,TB
BAL,1,25,CIN
BUF,4,14,NE
CAR,19,9,NO
CHI,9,6,CLE
CIN,24,10,BAL
CLE,30,27,CHI
DAL,10,28,MIN
DEN,17,11,GB
DET,2,15,LAR
GB,18,21,DEN
HOU,32,26,ARI
IND,3,8,SEA
JAX,15,1,NYJ
KC,21,22,LAC
LAC,14,19,KC
LAR,11,12,DET
LV,26,16,PHI
MIA,25,30,PIT
MIN,6,3,DAL
NE,22,17,BUF
NO,29,23,CAR
NYG,27,29,WSH
NYJ,16,31,JAX
PHI,8,18,LV
PIT,12,2,MIA
SEA,5,4,IND
SF,23,20,TEN
TB,13,24,ATL
TEN,28,7,SF
WSH,7,32,NYG
