team,offensive_rank,defensive_rank,opponent
ARI,20,13,BUF
ATL,31,5,PIT
BAL,1,25,KC
BUF,4,14,ARI
CAR,19,9,NO
CHI,9,6,TEN
CIN,24,10,NE
CLE,30,27,DAL
DAL,10,28,CLE
DEN,17,11,SEA
DET,2,15,LAR
GB,18,21,PHI
HOU,32,26,IND
IND,3,8,HOU
JAX,15,1,MIA
KC,21,22,BAL
LAC,14,19,LV
LAR,11,12,DET
LV,26,16,LAC
MIA,25,30,JAX
MIN,6,3,NYG
NE,22,17,CIN
NO,29,23,CAR
NYG,27,29,MIN
NYJ,16,31,SF
PHI,8,18,GB
PIT,12,2,ATL
SEA,5,4,DEN
SF,23,20,NYJ
TB,13,24,WSH
TEN,28,7,CHI
WSH,7,32,TB
