team,offensive_rank,defensive_rank,opponent
ARI,20,13,CIN
ATL,31,5,LAR
BAL,1,25,GB
BUF,4,14,PHI
CAR,19,9,SEA
CHI,9,6,SF
CIN,24,10,ARI
CLE,30,27,PIT
DAL,10,28,WSH
DEN,17,11,KC
DET,2,15,MIN
GB,18,21,BAL
HOU,32,26,LAC
IND,3,8,JAX
JAX,15,1,IND
KC,21,22,DEN
LAC,14,19,HOU
LAR,11,12,ATL
LV,26,16,NYG
MIA,25,30,TB
MIN,6,3,DET
NE,22,17,NYJ
NO,29,23,TEN
NYG,27,29,LV
NYJ,16,31,NE
PHI,8,18,BUF
PIT,12,2,CLE
SEA,5,4,CAR
SF,23,20,CHI
TB,13,24,MIA
TEN,28,7,NO
WSH,7,32,DAL
