week,team,opponent
1,ARI,TEN
1,ATL,PHI
1,BAL,LV
1,BUF,PIT
1,CAR,NYJ
1,CHI,LAR
1,CIN,MIN
1,CLE,KC
1,DAL,TB
1,DEN,NYG
1,DET,SF
1,GB,NO
1,HOU,JAX
1,IND,SEA
1,JAX,HOU
1,KC,CLE
1,LAC,WSH
1,LAR,CHI
1,LV,BAL
1,MIA,NE
1,MIN,CIN
1,NE,MIA
1,NO,GB
1,NYG,DEN
1,NYJ,CAR
1,PHI,ATL
1,PIT,BUF
1,SEA,IND
1,SF,DET
1,TB,DAL
1,TEN,ARI
1,WSH,LAC
2,ARI,MIN
2,ATL,TB
2,BAL,KC
2,BUF,MIA
2,CAR,NO
2,CHI,CIN
2,CIN,CHI
2,CLE,HOU
2,DAL,LAC
2,DEN,JAX
2,DET,GB
2,GB,DET
2,HOU,CLE
2,IND,LAR
2,JAX,DEN
2,KC,BAL
2,LAC,DAL
2,LAR,IND
2,LV,PIT
2,MIA,BUF
2,MIN,ARI
2,NE,NYJ
2,NO,CAR
2,NYG,WSH
2,NYJ,NE
2,PHI,SF
2,PIT,LV
2,SEA,TEN
2,SF,PHI
2,TB,ATL
2,TEN,SEA
2,WSH,NYG
3,ARI,JAX
3,ATL,NYG
3,BAL,DET
3,BUF,WSH
3,CAR,HOU
3,CHI,CLE
3,CIN,PIT
3,CLE,CHI
3,DAL,PHI
3,DEN,NYJ
3,DET,BAL
3,GB,SF
3,HOU,CAR
3,IND,TEN
3,JAX,ARI
3,KC,LAC
3,LAC,KC
3,LAR,TB
3,LV,MIA
3,MIA,LV
3,MIN,SEA
3,NE,NO
3,NO,NE
3,NYG,ATL
3,NYJ,DEN
3,PHI,DAL
3,PIT,CIN
3,SEA,MIN
3,SF,GB
3,TB,LAR
3,TEN,IND
3,WSH,BUF
4,ARI,LAR
4,ATL,WSH
4,BAL,DEN
4,BUF,HOU
4,CAR,DAL
4,CHI,DET
4,CIN,JAX
4,CLE,MIN
4,DAL,CAR
4,DEN,BAL
4,DET,CHI
4,GB,PIT
4,HOU,BUF
4,IND,MIA
4,JAX,CIN
4,KC,PHI
4,LAC,LV
4,LAR,ARI
4,LV,LAC
4,MIA,IND
4,MIN,CLE
4,NE,TB
4,NO,NYG
4,NYG,NO
4,NYJ,TEN
4,PHI,KC
4,PIT,GB
4,SEA,SF
4,SF,SEA
4,TB,NE
4,TEN,NYJ
4,WSH,ATL
5,ARI,SF
5,ATL,NYJ
5,BAL,IND
5,BUF,KC
5,CAR,PHI
5,CHI,LV
5,CIN,GB
5,CLE,LAC
5,DAL,NYG
5,DEN,PIT
5,DET,MIN
5,GB,CIN
5,HOU,NE
5,IND,BAL
5,JAX,TEN
5,KC,BUF
5,LAC,CLE
5,LAR,SEA
5,LV,CHI
5,MIA,TB
5,MIN,DET
5,NE,HOU
5,NO,WSH
5,NYG,DAL
5,NYJ,ATL
5,PHI,CAR
5,PIT,DEN
5,SEA,LAR
5,SF,ARI
5,TB,MIA
5,TEN,JAX
5,WSH,NO
6,ARI,CLE
6,ATL,
6,BAL,LAC
6,BUF,TEN
6,CAR,MIN
6,CHI,GB
6,CIN,DET
6,CLE,ARI
6,DAL,NE
6,DEN,LV
6,DET,CIN
6,GB,CHI
6,HOU,IND
6,IND,HOU
6,JAX,MIA
6,KC,WSH
6,LAC,BAL
6,LAR,NYG
6,LV,DEN
6,MIA,JAX
6,MIN,CAR
6,NE,DAL
6,NO,
6,NYG,LAR
6,NYJ,
6,PHI,TB
6,PIT,SEA
6,SEA,PIT
6,SF,
6,TB,PHI
6,TEN,BUF
6,WSH,KC
7,ARI,HOU
7,ATL,MIA
7,BAL,CIN
7,BUF,
7,CAR,NYG
7,CHI,TB
7,CIN,BAL
7,CLE,DEN
7,DAL,
7,DEN,CLE
7,DET,LAR
7,GB,WSH
7,HOU,ARI
7,IND,SF
7,JAX,
7,KC,TEN
7,LAC,
7,LAR,DET
7,LV,PHI
7,MIA,ATL
7,MIN,
7,NE,NYJ
7,NO,SEA
7,NYG,CAR
7,NYJ,NE
7,PHI,LV
7,PIT,
7,SEA,NO
7,SF,IND
7,TB,CHI
7,TEN,KC
7,WSH,GB
8,ARI,GB
8,ATL,CAR
8,BAL,
8,BUF,MIA
8,CAR,ATL
8,CHI,SF
8,CIN,NYJ
8,CLE,PIT
8,DAL,MIN
8,DEN,WSH
8,DET,PHI
8,GB,ARI
8,HOU,LAR
8,IND,TEN
8,JAX,SEA
8,KC,NYG
8,LAC,NE
8,LAR,HOU
8,LV,
8,MIA,BUF
8,MIN,DAL
8,NE,LAC
8,NO,TB
8,NYG,KC
8,NYJ,CIN
8,PHI,DET
8,PIT,CLE
8,SEA,JAX
8,SF,CHI
8,TB,NO
8,TEN,IND
8,WSH,DEN
9,ARI,SF
9,ATL,NO
9,BAL,MIN
9,BUF,JAX
9,CAR,NE
9,CHI,PIT
9,CIN,CLE
9,CLE,CIN
9,DAL,DEN
9,DEN,DAL
9,DET,
9,GB,KC
9,HOU,MIA
9,IND,NYJ
9,JAX,BUF
9,KC,GB
9,LAC,PHI
9,LAR,TEN
9,LV,NYG
9,MIA,HOU
9,MIN,BAL
9,NE,CAR
9,NO,ATL
9,NYG,LV
9,NYJ,IND
9,PHI,LAC
9,PIT,CHI
9,SEA,
9,SF,ARI
9,TB,
9,TEN,LAR
9,WSH,
10,ARI,CAR
10,ATL,DAL
10,BAL,MIA
10,BUF,NYJ
10,CAR,ARI
10,CHI,
10,CIN,
10,CLE,NE
10,DAL,ATL
10,DEN,PHI
10,DET,PIT
10,GB,SEA
10,HOU,
10,IND,JAX
10,JAX,IND
10,KC,LV
10,LAC,MIN
10,LAR,SF
10,LV,KC
10,MIA,BAL
10,MIN,LAC
10,NE,CLE
10,NO,TEN
10,NYG,
10,NYJ,BUF
10,PHI,DEN
10,PIT,DET
10,SEA,GB
10,SF,LAR
10,TB,WSH
10,TEN,NO
10,WSH,TB
11,ARI,SEA
11,ATL,NE
11,BAL,CHI
11,BUF,IND
11,CAR,WSH
11,CHI,BAL
11,CIN,LV
11,CLE,DET
11,DAL,KC
11,DEN,
11,DET,CLE
11,GB,MIN
11,HOU,TEN
11,IND,BUF
11,JAX,SF
11,KC,DAL
11,LAC,PIT
11,LAR,
11,LV,CIN
11,MIA,NYJ
11,MIN,GB
11,NE,ATL
11,NO,PHI
11,NYG,TB
11,NYJ,MIA
11,PHI,NO
11,PIT,LAC
11,SEA,ARI
11,SF,JAX
11,TB,NYG
11,TEN,HOU
11,WSH,CAR
12,ARI,
12,ATL,JAX
12,BAL,CLE
12,BUF,NO
12,CAR,MIA
12,CHI,DET
12,CIN,PIT
12,CLE,BAL
12,DAL,LV
12,DEN,LAC
12,DET,CHI
12,GB,LAR
12,HOU,NYJ
12,IND,TB
12,JAX,ATL
12,KC,
12,LAC,DEN
12,LAR,GB
12,LV,DAL
12,MIA,CAR
12,MIN,SF
12,NE,TEN
12,NO,BUF
12,NYG,PHI
12,NYJ,HOU
12,PHI,NYG
12,PIT,CIN
12,SEA,WSH
12,SF,MIN
12,TB,IND
12,TEN,NE
12,WSH,SEA
13,ARI,CHI
13,ATL,TB
13,BAL,PIT
13,BUF,NE
13,CAR,
13,CHI,ARI
13,CIN,LAC
13,CLE,
13,DAL,NO
13,DEN,KC
13,DET,MIN
13,GB,
13,HOU,IND
13,IND,HOU
13,JAX,LAR
13,KC,DEN
13,LAC,CIN
13,LAR,JAX
13,LV,WSH
13,MIA,NYG
13,MIN,DET
13,NE,BUF
13,NO,DAL
13,NYG,MIA
13,NYJ,PHI
13,PHI,NYJ
13,PIT,BAL
13,SEA,SF
13,SF,SEA
13,TB,ATL
13,TEN,
13,WSH,LV
14,ARI,LAR
14,ATL,CAR
14,BAL,CLE
14,BUF,TB
14,CAR,ATL
14,CHI,GB
14,CIN,SF
14,CLE,BAL
14,DAL,WSH
14,DEN,DET
14,DET,DEN
14,GB,CHI
14,HOU,SEA
14,IND,
14,JAX,TEN
14,KC,LV
14,LAC,NYG
14,LAR,ARI
14,LV,KC
14,MIA,
14,MIN,PIT
14,NE,
14,NO,NYJ
14,NYG,LAC
14,NYJ,NO
14,PHI,
14,PIT,MIN
14,SEA,HOU
14,SF,CIN
14,TB,BUF
14,TEN,JAX
14,WSH,DAL
15,ARI,DET
15,ATL,SF
15,BAL,GB
15,BUF,CAR
15,CAR,BUF
15,CHI,MIN
15,CIN,DEN
15,CLE,LV
15,DAL,NYG
15,DEN,CIN
15,DET,ARI
15,GB,BAL
15,HOU,JAX
15,IND,NE
15,JAX,HOU
15,KC,LAC
15,LAC,KC
15,LAR,SEA
15,LV,CLE
15,MIA,NYJ
15,MIN,CHI
15,NE,IND
15,NO,TB
15,NYG,DAL
15,NYJ,MIA
15,PHI,WSH
15,PIT,TEN
15,SEA,LAR
15,SF,ATL
15,TB,NO
15,TEN,PIT
15,WSH,PHI
16,ARI,IND
16,ATL,DET
16,BAL,CIN
16,BUF,NE
16,CAR,TB
16,CHI,SEA
16,CIN,BAL
16,CLE,GB
16,DAL,WSH
16,DEN,LV
16,DET,ATL
16,GB,CLE
16,HOU,LAC
16,IND,ARI
16,JAX,NYJ
16,KC,PIT
16,LAC,HOU
16,LAR,MIN
16,LV,DEN
16,MIA,NO
16,MIN,LAR
16,NE,BUF
16,NO,MIA
16,NYG,PHI
16,NYJ,JAX
16,PHI,NYG
16,PIT,KC
16,SEA,CHI
16,SF,TEN
16,TB,CAR
16,TEN,SF
16,WSH,DAL
17,ARI,DAL
17,ATL,BUF
17,BAL,LAR
17,BUF,ATL
17,CAR,NO
17,CHI,NYG
17,CIN,KC
17,CLE,PIT
17,DAL,ARI
17,DEN,LAC
17,DET,SEA
17,GB,MIN
17,HOU,SF
17,IND,LV
17,JAX,NE
17,KC,CIN
17,LAC,DEN
17,LAR,BAL
17,LV,IND
17,MIA,TEN
17,MIN,GB
17,NE,JAX
17,NO,CAR
17,NYG,CHI
17,NYJ,TB
17,PHI,WSH
17,PIT,CLE
17,SEA,DET
17,SF,HOU
17,TB,NYJ
17,TEN,MIA
17,WSH,PHI
