id,name,team,position,bye_week,fantasy_points,injury_status,drafted,locked,data_method,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
3728262,Ray-Ray McCloud III,ATL,WR,5,91.29107411000001,ACTIVE,0,0,weekly,8.1,0.0,5.48573361,5.50527759,0.0,5.45312241,5.4981799,5.63052888,5.60970311,5.37495802,5.42317649,5.28104153,5.30080346,5.23001892,5.59288705,5.31873001,5.41516203
4874509,DJ Giddens,IND,RB,11,14.660144070000001,ACTIVE,0,0,weekly,1.8106236,0.64644121,0.78514151,0.74239451,0.77094243,0.74716539,0.72952191,0.79527825,0.75931338,0.74700909,0.0,0.74272802,0.75143581,0.74330641,0.73419439,0.75870089,0.75301208
3929785,Nick Westbrook-Ikhine,MIA,WR,12,87.13104726,ACTIVE,0,0,weekly,1.7,4.43759919,5.99222271,5.8019998,5.93355652,5.81354614,5.62141995,5.8056266,6.03711696,5.97579206,6.01899949,0.0,5.76981151,5.79628811,5.92388977,5.91974148,6.0841736
4429086,Michael Mayer,LV,TE,8,72.80976415,ACTIVE,1,0,weekly,4.25966949,5.08057887,4.39487313,4.65662829,4.4307019,4.34901222,4.47000419,0.0,4.37308139,4.41342699,4.76559641,4.23769506,4.37261001,4.40015703,4.48859128,4.32398754,4.43339871
4259147,Jake Tonges,SF,TE,14,32.30147864,ACTIVE,0,0,weekly,10.5,7.1,6.41983177,6.85222713,7.02084222,0.57988833,0.54818165,0.54502476,0.55956138,0.5621558,0.55320646,0.55991754,0.53592451,0.0,0.54660048,0.55867891,0.58326484
3124084,Joey Slye,TEN,K,10,128.62082823,ACTIVE,0,0,weekly,15.0,7.53075404,7.54646597,7.27709532,7.41876205,7.48729924,7.68470944,7.4184485,7.4018808,0.0,7.39998332,7.40224843,7.543354,7.34614377,7.41779579,7.47382836,7.75426135
3676833,KaVontae Turpin,DAL,WR,10,81.76328895,ACTIVE,0,0,weekly,4.7,15.3,5.28221998,4.77009703,5.05646558,5.1798488,5.14771903,4.94642997,5.02796019,0.0,5.00350011,5.02914008,5.03037635,5.07742405,4.93530422,4.95717226,5.09882513
4600981,Pat Bryant,DEN,WR,12,34.20879559000001,ACTIVE,0,0,weekly,5.60816396,0.53663128,2.09757133,2.2152993,2.17759624,2.1314957,2.17511784,2.34558409,2.09919727,2.17687102,2.17366188,0.0,2.21332769,2.17761532,2.1146421,2.13794171,2.1728741
4432762,Shedeur Sanders,CLE,QB,9,55.9569086,ACTIVE,0,0,seasonal,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529,3.291582858823529
4248528,Christian Watson,GB,WR,5,50.00464335,OUT,0,0,seasonal,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293,2.9414496088235293
3116164,Mike Gesicki,CIN,TE,10,108.22427507,ACTIVE,0,0,weekly,6.75588926,4.99241897,6.8355453,7.07992218,7.40551201,7.02912284,7.21945261,7.00603023,7.45428021,0.0,7.23742594,7.38928028,7.35221924,7.1966218,7.33991688,7.44667332,7.03227223
2573401,Tyler Higbee,LAR,TE,8,99.68794955000001,ACTIVE,0,0,weekly,6.96985397,6.15578391,6.66905393,6.50859063,6.65842663,6.80923532,6.45896459,0.0,6.35739898,6.6919389,6.36425988,6.76328796,6.57082135,6.47023391,6.83439914,6.39749737,6.43384096
-16015,Dolphins D/ST,MIA,DST,12,85.41184863,ACTIVE,0,0,weekly,0.0,4.95640053,2.45011528,5.80302548,5.50777815,3.3163569,5.74213899,3.25190345,2.43749148,2.51621147,3.48209462,0.0,5.92341774,5.57430083,4.96939407,5.35774938,3.94615178
4428718,Tre Tucker,LV,WR,8,127.90812807000002,ACTIVE,0,0,weekly,5.47380413,7.54137414,7.75626143,8.2716987,7.81209506,7.775866,7.83754972,0.0,7.73835498,7.7221913,8.46286353,7.50869916,7.65686115,7.73547715,7.84700297,7.59887254,7.88433438
