team,offensive_rank,defensive_rank,def_vs_qb_rank,def_vs_rb_rank,def_vs_wr_rank,def_vs_te_rank,def_vs_k_rank
ARI,20,21,15,23,12,5,16
ATL,28,8,28,9,22,29,32
BAL,15,31,30,10,32,31,27
BUF,4,26,27,31,21,21,13
CAR,24,22,23,29,11,30,25
CHI,10,1,7,25,5,4,24
CIN,26,9,31,15,26,32,21
CLE,30,13,21,4,13,23,10
DAL,2,23,19,24,28,17,5
DEN,17,27,26,18,14,14,23
DET,3,3,1,6,15,1,12
GB,7,29,10,28,7,12,7
HOU,21,7,4,12,24,9,17
IND,1,4,3,27,29,22,20
JAX,22,2,32,32,31,26,18
KC,6,18,17,2,10,24,6
LAC,16,15,14,3,19,18,2
LAR,11,5,20,7,27,20,14
LV,31,19,25,22,2,27,26
MIA,25,24,12,17,1,15,29
MIN,18,14,16,1,25,6,8
NE,8,11,8,20,9,16,31
NO,29,12,24,30,30,25,30
NYG,19,28,18,16,3,2,22
NYJ,27,32,22,11,17,7,28
PHI,14,20,6,5,4,10,3
PIT,12,6,9,8,6,11,4
SEA,5,16,5,19,16,13,1
SF,23,25,2,26,18,3,15
TB,13,17,29,14,23,28,19
TEN,32,10,13,13,8,8,11
WSH,9,30,11,21,20,19,9
