team,offensive_rank,defensive_rank,def_vs_qb_rank,def_vs_rb_rank,def_vs_wr_rank,def_vs_te_rank,def_vs_k_rank
ARI,20,21,17,25,20,2,12
ATL,28,8,16,6,26,23,31
BAL,15,31,30,7,32,26,27
BUF,4,26,25,27,22,9,5
CAR,24,22,27,30,7,32,20
CHI,10,1,6,31,8,10,24
CIN,26,9,29,11,24,30,19
CLE,30,13,20,5,15,31,14
DAL,2,23,26,23,29,17,10
DEN,17,27,22,16,16,15,26
DET,3,3,1,4,21,1,15
GB,7,29,10,28,17,14,6
HOU,21,7,3,10,23,6,16
IND,1,4,2,26,19,25,23
JAX,22,2,31,32,31,24,18
KC,6,18,23,2,13,28,7
LAC,16,15,19,3,18,22,2
LAR,11,5,28,14,28,18,17
LV,31,19,24,17,3,27,28
MIA,25,24,9,20,1,21,32
MIN,18,14,18,1,30,8,13
NE,8,11,11,15,6,16,30
NO,29,12,15,24,27,20,25
NYG,19,28,12,22,2,4,21
NYJ,27,32,21,13,12,5,29
PHI,14,20,14,8,5,11,3
PIT,12,6,8,12,11,12,4
SEA,5,16,4,21,4,19,1
SF,23,25,7,29,14,3,11
TB,13,17,32,18,25,29,22
TEN,32,10,13,19,9,7,9
WSH,9,30,5,9,10,13,8
