team,offensive_rank,defensive_rank,def_vs_qb_rank,def_vs_rb_rank,def_vs_wr_rank,def_vs_te_rank,def_vs_k_rank
ARI,16,16,16,16,16,16,16
ATL,16,16,16,16,16,16,16
BAL,16,16,16,16,16,16,16
BUF,16,16,16,16,16,16,16
CAR,16,16,16,16,16,16,16
CHI,16,16,16,16,16,16,16
CIN,16,16,16,16,16,16,16
CLE,16,16,16,16,16,16,16
DAL,16,16,16,16,16,16,16
DEN,16,16,16,16,16,16,16
DET,16,16,16,16,16,16,16
GB,16,16,16,16,16,16,16
HOU,16,16,16,16,16,16,16
IND,16,16,16,16,16,16,16
JAX,16,16,16,16,16,16,16
KC,16,16,16,16,16,16,16
LAC,16,16,16,16,16,16,16
LAR,16,16,16,16,16,16,16
LV,16,16,16,16,16,16,16
MIA,16,16,16,16,16,16,16
MIN,16,16,16,16,16,16,16
NE,16,16,16,16,16,16,16
NO,16,16,16,16,16,16,16
NYG,16,16,16,16,16,16,16
NYJ,16,16,16,16,16,16,16
PHI,16,16,16,16,16,16,16
PIT,16,16,16,16,16,16,16
SEA,16,16,16,16,16,16,16
SF,16,16,16,16,16,16,16
TB,16,16,16,16,16,16,16
TEN,16,16,16,16,16,16,16
WSH,16,16,16,16,16,16,16
