name,position,team,adp,bye_week,injury_status,id
CeeDee Lamb,WR,DAL,7.871428571428572,10,healthy,6786
Ladd McConkey,WR,LAC,22.842857142857145,12,healthy,11635
Jaxon Smith-Njigba,WR,SEA,29.785714285714285,8,healthy,9488
Josh Allen,QB,BUF,10.685714285714285,7,healthy,4984
DJ Moore,WR,CHI,58.199999999999996,5,healthy,4983
David Njoku,TE,CLE,109.34285714285714,9,healthy,4033
Jayden Higgins,WR,HOU,109.58571428571429,6,healthy,12484
Tyler Shough,QB,NO,214.35714285714286,11,healthy,12545
Trey McBride,TE,ARI,21.82857142857143,8,healthy,8130
Dylan Sampson,RB,CLE,163.84285714285716,9,healthy,12469
Jaylen Warren,RB,PIT,114.27142857142857,5,healthy,8228
Will Reichard,K,MIN,264.85,6,healthy,11792
Bills,DEF,BUF,240.14285714285714,7,healthy,BUF
Tony Pollard,RB,TEN,93.85714285714286,10,healthy,5967
Austin Ekeler,RB,WAS,180.85714285714286,12,healthy,4663
