name,position,team,adp,bye_week,injury_status
Amon-Ra St. Brown,WR,DET,11.685714285714285,8,healthy
Jonathan Taylor,RB,IND,28.185714285714287,11,healthy
Travis Hunter,WR,JAX,44.9,8,healthy
David Montgomery,RB,DET,70.11428571428571,8,healthy
Jalen Hurts,QB,PHI,24.185714285714287,9,healthy
Chris Olave,WR,NO,73.65714285714286,11,healthy
David Njoku,TE,CLE,109.34285714285714,9,healthy
Texans,DEF,HOU,211.9857142857143,6,healthy
Chase McLaughlin,K,TB,258.34000000000003,9,healthy
J.J. McCarthy,QB,MIN,102.65714285714286,6,healthy
Jaylen Warren,RB,PIT,114.27142857142857,5,healthy
Isaiah Likely,TE,BAL,140.5,7,questionable
