name,position,team,adp,bye_week,injury_status,id
Ashton Jeanty,RB,LV,10.799999999999999,8,healthy,12527
Bucky Irving,RB,TB,23.042857142857144,9,healthy,11584
Omarion Hampton,RB,LAC,32.67142857142857,12,healthy,12507
Lamar Jackson,QB,BAL,13.042857142857143,7,healthy,4881
Alvin Kamara,RB,NO,58.199999999999996,11,healthy,4035
Travis Kelce,TE,KC,93.42857142857143,10,healthy,1466
Rome Odunze,WR,CHI,64.21428571428571,5,healthy,11620
Jordan Mason,RB,MIN,132.27142857142857,6,healthy,8408
Cameron Ward,QB,TEN,106.52857142857144,10,healthy,12522
Tucker Kraft,TE,GB,111.31428571428572,5,healthy,9484
Mike Evans,WR,TB,59.98571428571429,9,healthy,2216
Ka'imi Fairbairn,K,HOU,265.6666666666667,6,healthy,3451
Commanders,DEF,WAS,193.17142857142855,12,healthy,WAS
Davante Adams,WR,LAR,67.4,8,healthy,2133
Joshua Palmer,WR,BUF,212.85714285714286,7,healthy,7670
