name,position,team,adp,bye_week,injury_status,id
Bijan Robinson,RB,ATL,4.585714285714286,5,healthy,9509
Nico Collins,WR,HOU,16.67142857142857,6,healthy,7569
Marvin Harrison,WR,ARI,28.571428571428573,8,healthy,11628
Rashee Rice,WR,KC,43.271428571428565,10,healthy,10229
Jalen Hurts,QB,PHI,24.185714285714287,9,healthy,6904
Tyler Warren,TE,IND,74.07142857142857,11,healthy,12518
Zay Flowers,WR,BAL,59.5,7,healthy,9997
Courtland Sutton,WR,DEN,75.08571428571429,12,healthy,5045
Patrick Mahomes,QB,KC,39.98571428571429,10,healthy,4046
Dallas Goedert,TE,PHI,150.55714285714288,9,healthy,5022
DJ Giddens,RB,IND,205.07142857142858,11,healthy,12471
Cameron Dicker,K,LAC,227.0666666666667,12,healthy,8259
Ravens,DEF,BAL,202.81428571428572,7,healthy,BAL
David Montgomery,RB,DET,70.11428571428571,8,healthy,5892
J.K. Dobbins,RB,DEN,147.4857142857143,12,healthy,6806
