name,position,team,adp,bye_week,injury_status
Nico Collins,WR,HOU,16.67142857142857,6,healthy
Kyren Williams,RB,LAR,32.357142857142854,8,healthy
DeVonta Smith,WR,PHI,53.642857142857146,9,healthy
Isiah Pacheco,RB,KC,74.72857142857143,10,healthy
Bo Nix,QB,DEN,53.72857142857142,12,healthy
Courtland Sutton,WR,DEN,75.08571428571429,12,healthy
Tucker Kraft,TE,GB,111.31428571428572,5,healthy
Lions,DEF,DET,228.1142857142857,8,healthy
Tyler Loop,K,BAL,259.8333333333333,7,healthy
Jayden Reed,WR,GB,103.41428571428571,5,questionable
Evan Engram,TE,DEN,118.47142857142856,12,healthy
Michael Pittman,WR,IND,129.4,11,healthy
J.K. Dobbins,RB,DEN,147.4857142857143,12,healthy
Dylan Sampson,RB,CLE,163.84285714285716,9,healthy
Anthony Richardson,QB,IND,175.37142857142857,11,questionable
