name,position,team,adp,bye_week,injury_status
Drake London,WR,ATL,19.657142857142855,5,healthy
Omarion Hampton,RB,LAC,32.67142857142857,12,healthy
Quinshon Judkins,RB,CLE,56.871428571428574,9,healthy
Mike Evans,WR,TB,59.98571428571429,9,healthy
T.J. Hockenson,TE,MIN,65.94285714285715,6,questionable
Jaylen Waddle,WR,MIA,76.75714285714287,12,healthy
Kyler Murray,QB,ARI,83.32857142857142,8,healthy
Jake Bates,K,DET,233.26666666666665,8,healthy
Chiefs,DEF,KC,237.08571428571426,10,healthy
Deebo Samuel,WR,WAS,107.8,12,healthy
Kyle Pitts,TE,ATL,118.95714285714287,5,healthy
Marvin Mims,WR,DEN,148.4,12,healthy
Tyler Allgeier,RB,ATL,177.29999999999998,5,healthy
