week,team,opponent
1,ARI,WSH
1,ATL,CAR
1,BAL,HOU
1,BUF,NYJ
1,CAR,ATL
1,CHI,GB
1,CIN,CLE
1,CLE,CIN
1,DAL,NYG
1,DEN,LV
1,DET,KC
1,GB,CHI
1,HOU,BAL
1,IND,JAX
1,JAX,IND
1,KC,DET
1,LAC,MIA
1,LAR,SEA
1,LV,DEN
1,MIA,LAC
1,MIN,TB
1,NE,PHI
1,NO,TEN
1,NYG,DAL
1,NYJ,BUF
1,PHI,NE
1,PIT,SF
1,SEA,LAR
1,SF,PIT
1,TB,MIN
1,TEN,NO
1,WSH,ARI
2,ARI,NYG
2,ATL,GB
2,BAL,CIN
2,BUF,LV
2,CAR,NO
2,CHI,TB
2,CIN,BAL
2,CLE,PIT
2,DAL,NYJ
2,DEN,WSH
2,DET,SEA
2,GB,ATL
2,HOU,IND
2,IND,HOU
2,JAX,KC
2,KC,JAX
2,LAC,TEN
2,LAR,SF
2,LV,BUF
2,MIA,NE
2,MIN,PHI
2,NE,MIA
2,NO,CAR
2,NYG,ARI
2,NYJ,DAL
2,PHI,MIN
2,PIT,CLE
2,SEA,DET
2,SF,LAR
2,TB,CHI
2,TEN,LAC
2,WSH,DEN
3,ARI,DAL
3,ATL,DET
3,BAL,IND
3,BUF,WSH
3,CAR,SEA
3,CHI,KC
3,CIN,LAR
3,CLE,TEN
3,DAL,ARI
3,DEN,MIA
3,DET,ATL
3,GB,NO
3,HOU,JAX
3,IND,BAL
3,JAX,HOU
3,KC,CHI
3,LAC,MIN
3,LAR,CIN
3,LV,PIT
3,MIA,DEN
3,MIN,LAC
3,NE,NYJ
3,NO,GB
3,NYG,SF
3,NYJ,NE
3,PHI,TB
3,PIT,LV
3,SEA,CAR
3,SF,NYG
3,TB,PHI
3,TEN,CLE
3,WSH,BUF
4,ARI,SF
4,ATL,JAX
4,BAL,CLE
4,BUF,MIA
4,CAR,MIN
4,CHI,DEN
4,CIN,TEN
4,CLE,BAL
4,DAL,NE
4,DEN,CHI
4,DET,GB
4,GB,DET
4,HOU,PIT
4,IND,LAR
4,JAX,ATL
4,KC,NYJ
4,LAC,LV
4,LAR,IND
4,LV,LAC
4,MIA,BUF
4,MIN,CAR
4,NE,DAL
4,NO,TB
4,NYG,SEA
4,NYJ,KC
4,PHI,WSH
4,PIT,HOU
4,SEA,NYG
4,SF,ARI
4,TB,NO
4,TEN,CIN
4,WSH,PHI
5,ARI,CIN
5,ATL,HOU
5,BAL,PIT
5,BUF,JAX
5,CAR,DET
5,CHI,WSH
5,CIN,ARI
5,CLE,
5,DAL,SF
5,DEN,NYJ
5,DET,CAR
5,GB,LV
5,HOU,ATL
5,IND,TEN
5,JAX,BUF
5,KC,MIN
5,LAC,
5,LAR,PHI
5,LV,GB
5,MIA,NYG
5,MIN,KC
5,NE,NO
5,NO,NE
5,NYG,MIA
5,NYJ,DEN
5,PHI,LAR
5,PIT,BAL
5,SEA,
5,SF,DAL
5,TB,
5,TEN,IND
5,WSH,CHI
6,ARI,LAR
6,ATL,WSH
6,BAL,TEN
6,BUF,NYG
6,CAR,MIA
6,CHI,MIN
6,CIN,SEA
6,CLE,SF
6,DAL,LAC
6,DEN,KC
6,DET,TB
6,GB,
6,HOU,NO
6,IND,JAX
6,JAX,IND
6,KC,DEN
6,LAC,DAL
6,LAR,ARI
6,LV,NE
6,MIA,CAR
6,MIN,CHI
6,NE,LV
6,NO,HOU
6,NYG,BUF
6,NYJ,PHI
6,PHI,NYJ
6,PIT,
6,SEA,CIN
6,SF,CLE
6,TB,DET
6,TEN,BAL
6,WSH,ATL
7,ARI,SEA
7,ATL,TB
7,BAL,DET
7,BUF,NE
7,CAR,
7,CHI,LV
7,CIN,
7,CLE,IND
7,DAL,
7,DEN,GB
7,DET,BAL
