team,offensive_rank,defensive_rank,def_vs_qb_rank,def_vs_rb_rank,def_vs_wr_rank,def_vs_te_rank,def_vs_k_rank
ARI,17,31,9,23,7,10,23
ATL,23,28,29,32,30,16,24
BAL,9,2,8,12,23,4,30
BUF,4,15,6,29,19,7,13
CAR,30,18,20,28,22,17,27
CHI,11,23,31,22,29,21,26
CIN,5,32,27,30,11,26,22
CLE,28,24,5,14,8,8,25
DAL,14,27,19,17,18,20,19
DEN,18,4,10,9,24,28,28
DET,13,13,14,1,4,6,9
GB,25,5,11,26,15,12,20
HOU,19,9,17,15,16,19,14
IND,6,14,2,20,2,18,5
JAX,3,17,16,2,9,29,6
KC,20,10,15,5,6,14,8
LAC,16,8,3,19,14,5,11
LAR,2,7,4,8,3,25,7
LV,27,19,13,11,21,2,17
MIA,21,3,24,13,17,32,1
MIN,26,21,25,21,25,30,32
NE,8,6,26,4,27,27,3
NO,32,12,1,7,10,13,16
NYG,24,29,30,31,26,15,15
NYJ,10,25,18,25,13,11,12
PHI,22,1,7,10,1,1,10
PIT,15,16,21,16,28,23,31
SEA,1,11,12,6,5,22,2
SF,7,26,32,24,31,31,18
TB,12,20,23,18,12,3,4
TEN,29,22,22,3,20,9,21
WSH,31,30,28,27,32,24,29
