team,offensive_rank,defensive_rank,opponent
ARI,21,14,GB
ATL,27,9,SF
BAL,14,30,
BUF,4,21,
CAR,19,25,NYJ
CHI,10,2,NO
CIN,28,5,PIT
CLE,32,26,MIA
DAL,3,27,WSH
DEN,20,28,NYG
DET,2,6,TB
GB,8,31,ARI
HOU,22,20,SEA
IND,1,8,LAC
JAX,17,1,LAR
KC,9,17,LV
LAC,23,15,IND
LAR,16,3,JAX
LV,30,11,KC
MIA,18,18,CLE
MIN,13,12,PHI
NE,11,13,TEN
NO,29,10,CHI
NYG,26,22,DEN
NYJ,25,32,CAR
PHI,15,23,MIN
PIT,12,4,CIN
SEA,5,16,HOU
SF,24,24,ATL
TB,6,19,DET
TEN,31,7,NE
WSH,7,29,DAL
