team,offensive_rank,defensive_rank,def_vs_qb_rank,def_vs_rb_rank,def_vs_wr_rank,def_vs_te_rank,def_vs_k_rank
ARI,17,30,5,21,5,13,29
ATL,26,27,26,32,29,17,27
BAL,9,2,3,4,10,1,20
BUF,5,17,2,27,6,3,7
CAR,30,12,15,28,17,14,25
CHI,10,19,30,13,26,21,19
CIN,4,32,28,30,7,32,23
CLE,24,13,7,10,3,6,22
DAL,6,26,21,16,21,18,28
DEN,12,10,16,15,20,31,18
DET,14,6,12,1,12,8,8
GB,21,7,11,22,14,19,26
HOU,20,11,14,19,22,15,17
IND,3,15,13,11,13,24,5
JAX,13,24,22,3,15,30,3
KC,15,1,8,2,1,12,11
LAC,16,16,9,25,16,7,13
LAR,1,4,6,5,9,20,9
LV,31,23,19,17,24,5,16
MIA,27,8,18,20,11,28,1
MIN,25,25,27,14,28,23,30
NE,7,5,23,8,25,26,6
NO,32,14,1,18,8,11,10
NYG,18,29,32,31,27,16,14
NYJ,23,18,17,23,19,9,15
PHI,19,3,4,9,4,2,24
PIT,11,22,25,12,31,25,32
SEA,2,9,10,6,2,22,2
SF,8,21,31,24,30,29,12
TB,22,20,20,26,18,4,4
TEN,29,28,24,7,23,10,21
WSH,28,31,29,29,32,27,31
