id,name,team,position,bye_week,fantasy_points,injury_status,drafted_by,locked,average_draft_position,player_rating,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
4426354,George Pickens,DAL,WR,10,16.70142343,ACTIVE,Saint Nix,False,170.0,87.59916492693111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4430737,Kyren Williams,LAR,RB,8,15.28868018,ACTIVE,Striking Shibas,False,170.0,81.88721804511277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3953687,Brandon Aubrey,DAL,K,10,9.16944959,ACTIVE,The Eskimo Brothers,False,170.0,98.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4426502,Drake London,ATL,WR,5,15.83551274,ACTIVE,Striking Shibas,False,170.0,90.69937369519833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4431452,Drake Maye,NE,QB,14,22.03136265,ACTIVE,Striking Shibas,False,170.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4362238,Chase Brown,CIN,RB,10,16.44192281,ACTIVE,Annihilators,False,170.0,86.6015037593985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4596448,Bucky Irving,TB,RB,9,14.70235553,ACTIVE,Sea Sharp,False,170.0,79.90225563909775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4361579,Javonte Williams,DAL,RB,10,16.44336235,QUESTIONABLE,Sea Sharp,False,170.0,85.85714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16007,Broncos D/ST,DEN,DST,12,8.93003731,ACTIVE,Chase-ing points,False,170.0,83.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4239993,Tee Higgins,CIN,WR,10,14.15518436,ACTIVE,The Eskimo Brothers,False,170.0,89.25260960334029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4431459,Tyler Warren,IND,TE,11,12.11506869,ACTIVE,Striking Shibas,False,170.0,82.09045226130654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16800,Davante Adams,LAR,WR,8,0.0,QUESTIONABLE,Saquon Deez,False,170.0,89.87265135699374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4361370,Chris Olave,NO,WR,11,17.10099983,ACTIVE,Fishoutawater,False,170.0,94.8329853862213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4427366,Breece Hall,NYJ,RB,9,13.2477575,QUESTIONABLE,The Injury Report,False,170.0,70.47368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4612826,Ladd McConkey,LAC,WR,12,10.55357595,ACTIVE,Striking Shibas,False,170.0,70.0313152400835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4429615,Zay Flowers,BAL,WR,7,11.9153736,ACTIVE,Pidgin,False,170.0,82.22546972860125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4426388,Jameson Williams,DET,WR,8,13.42782301,ACTIVE,Sea Sharp,False,170.0,91.73277661795407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4432710,TreVeyon Henderson,NE,RB,14,13.90442269,ACTIVE,Saint Nix,False,170.0,78.41353383458646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4038815,Rico Dowdle,CAR,RB,14,12.86223565,QUESTIONABLE,The Injury Report,False,170.0,60.54887218045113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4241478,DeVonta Smith,PHI,WR,9,11.58730683,ACTIVE,Chase-ing points,False,170.0,74.99164926931107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
