id,name,team,position,bye_week,drafted,locked,fantasy_points,average_draft_position,player_rating,injury_status,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
4360310,Trevor Lawrence,JAX,QB,9,0,0,247.5,128.4,87.0,ACTIVE,17.7,9.2,14.4,16.5,15.7,14.7,18.1,14.7,,2.1,32.2,24.6,17.7,16.4,16.1,17.5,
15847,Travis Kelce,KC,TE,10,0,0,245.4,10.9,99.4,ACTIVE,,12.6,19.9,12.0,22.7,21.4,35.9,11.8,4.4,,15.4,15.1,15.8,14.9,14.5,14.5,14.5
4697815,Rachaad White,TB,RB,5,0,0,244.1,95.3,97.2,ACTIVE,6.9,21.3,7.2,10.8,,6.8,15.9,17.9,27.9,17.8,17.8,13.0,15.6,15.0,16.1,17.0,17.1
14881,Russell Wilson,PIT,QB,6,0,0,243.6,156.1,88.0,ACTIVE,15.2,25.9,14.2,22.2,18.7,,13.9,17.6,,18.7,14.5,16.8,16.9,16.6,17.1,15.4,
4035687,Michael Pittman Jr.,IND,WR,11,0,0,241.7,124.0,95.8,ACTIVE,23.7,13.6,16.7,4.5,10.2,19.9,16.3,18.0,14.4,16.4,,20.7,16.4,18.0,16.2,,16.7
4360438,Brandon Aiyuk,SF,WR,9,0,0,240.2,57.8,94.7,ACTIVE,32.9,7.3,,20.8,9.8,11.6,10.7,15.9,,14.5,26.6,13.0,15.5,14.8,16.1,15.2,15.5
16800,Davante Adams,LV,WR,13,0,0,239.8,27.2,96.1,ACTIVE,12.6,20.4,42.2,15.5,8.5,4.9,12.7,2.1,7.4,14.6,21.2,12.3,,15.8,16.4,16.8,16.4
16460,Adam Thielen,CAR,WR,7,0,0,239.8,43.2,96.5,ACTIVE,3.2,20.4,31.5,15.2,27.7,28.5,,15.2,7.9,10.2,15.4,1.2,14.5,13.1,11.1,12.6,12.1
4430807,Bijan Robinson,ATL,RB,11,0,0,236.0,28.1,95.6,ACTIVE,20.3,21.2,10.0,18.7,11.8,13.0,0.3,12.2,5.9,17.6,,27.3,15.2,16.8,16.4,14.6,14.7
3916148,Tony Pollard,TEN,RB,7,0,0,233.8,8.7,94.4,ACTIVE,22.2,19.9,15.1,9.0,8.4,17.0,,6.5,9.3,5.5,18.0,22.3,17.3,17.1,16.2,15.2,14.8
4429795,Jahmyr Gibbs,DET,RB,9,0,0,231.5,83.1,95.0,ACTIVE,8.0,12.6,9.2,9.1,,,27.6,29.9,,26.2,21.5,11.3,16.3,14.2,15.8,14.0,15.9
4427366,Breece Hall,NYJ,RB,7,0,0,228.9,57.1,92.2,ACTIVE,15.7,0.9,3.7,9.9,28.4,20.3,,21.3,10.0,10.5,18.3,11.9,16.3,14.3,15.5,16.0,15.8
4036133,T.J. Hockenson,MIN,TE,13,0,0,226.7,32.3,100.0,QUESTIONABLE,11.5,25.6,13.8,4.4,10.1,11.0,19.6,20.8,13.9,30.4,9.5,16.0,,11.4,14.5,14.2,
3116385,Joe Mixon,HOU,RB,7,0,0,225.1,56.0,91.1,ACTIVE,10.3,13.5,14.0,8.6,13.4,9.2,,20.0,17.8,12.5,21.0,8.0,14.4,15.2,15.9,15.7,15.6
4241478,DeVonta Smith,PHI,WR,10,0,0,224.0,115.1,94.0,ACTIVE,17.7,23.1,6.8,14.8,1.6,9.4,8.9,22.9,14.1,,15.9,23.6,13.3,13.7,13.3,12.1,12.7
4361370,Chris Olave,NO,WR,11,0,0,221.9,83.9,93.7,ACTIVE,19.2,14.6,18.4,1.4,9.2,16.6,12.7,9.6,16.6,21.4,,18.4,16.5,14.9,,16.0,16.4
4569618,Garrett Wilson,NYJ,WR,7,0,0,221.9,44.6,93.0,ACTIVE,14.4,16.3,9.8,15.0,8.4,17.0,,17.6,13.0,18.3,0.9,17.4,15.0,13.4,15.1,15.4,15.0
4258173,Nico Collins,HOU,WR,7,0,0,219.8,130.3,94.4,ACTIVE,14.0,27.6,5.4,35.8,6.9,12.0,,7.0,14.4,,13.5,23.4,15.1,15.7,,12.6,16.5
12483,Matthew Stafford,LAR,QB,10,0,0,217.8,168.0,83.3,ACTIVE,14.5,14.0,11.5,16.2,16.9,13.2,14.0,11.4,,,9.7,23.4,12.2,12.8,17.0,15.3,15.8
4379399,James Cook,BUF,RB,13,0,0,215.6,104.7,93.9,ACTIVE,10.3,19.9,13.2,14.7,5.1,7.1,19.2,8.3,7.9,12.0,19.2,16.0,,14.1,14.6,17.8,16.1
3925357,Calvin Ridley,TEN,WR,7,0,0,215.5,141.5,92.6,ACTIVE,24.1,5.2,7.0,11.8,20.6,6.6,,14.3,,4.0,31.1,21.9,13.5,13.4,14.0,13.8,14.3
4259545,D'Andre Swift,CHI,RB,13,0,0,214.4,45.2,96.1,ACTIVE,1.3,27.1,14.8,17.9,16.8,17.8,10.5,14.4,9.4,,19.7,9.4,,13.1,13.6,13.7,15.0
15795,DeAndre Hopkins,TEN,WR,7,0,0,211.8,72.0,90.5,ACTIVE,13.5,8.0,7.8,10.3,22.0,3.0,,34.8,10.5,5.7,15.9,7.9,13.2,14.5,14.8,14.8,15.1
4429205,Jordan Addison,MIN,WR,13,0,0,209.2,134.8,95.1,ACTIVE,16.1,16.2,11.2,,18.4,11.8,31.3,21.4,10.2,10.9,7.4,9.9,,10.3,11.4,12.2,10.7
3043078,Derrick Henry,BAL,RB,13,0,0,209.1,41.0,92.8,ACTIVE,13.9,18.5,2.0,24.4,9.2,19.3,,16.2,19.2,3.0,5.4,20.6,,13.5,15.2,15.3,13.4
3040151,George Kittle,SF,TE,9,0,0,208.1,77.6,98.1,QUESTIONABLE,4.9,6.0,16.0,1.9,27.7,1.1,13.0,23.9,,20.6,22.9,4.9,13.2,12.7,13.3,12.6,13.4
4362887,Justin Fields,PIT,QB,6,0,0,206.4,150.1,81.5,ACTIVE,14.5,14.7,10.7,27.9,33.0,,,,,,21.2,10.6,,18.9,18.0,20.0,16.8
16757,Derek Carr,NO,QB,11,0,0,205.9,169.6,80.6,ACTIVE,14.6,6.7,8.1,3.2,15.7,16.3,17.4,18.3,16.7,5.4,,10.9,15.8,14.5,13.1,14.2,14.8
4430027,Sam LaPorta,DET,TE,9,0,0,205.6,63.6,98.7,ACTIVE,8.9,11.3,22.4,9.6,19.7,7.6,11.2,19.7,,8.0,6.8,17.7,11.9,12.4,12.1,13.0,13.2
4047650,DK Metcalf,SEA,WR,5,0,0,204.5,52.8,88.4,ACTIVE,13.7,13.5,17.2,12.4,,10.9,,11.7,6.0,16.8,20.4,6.2,15.2,15.9,16.1,14.8,13.7
3126486,Deebo Samuel,SF,WR,9,0,0,203.7,99.4,86.7,ACTIVE,11.3,22.1,25.1,0.6,11.5,1.1,,,,15.9,9.2,22.4,15.7,15.8,18.3,17.4,17.3
4372016,Jaylen Waddle,MIA,WR,10,0,0,202.3,36.6,90.9,ACTIVE,11.8,12.4,,8.6,14.5,18.1,12.3,25.1,8.4,,9.5,19.4,15.3,15.7,15.7,15.5,
3929630,Saquon Barkley,PHI,RB,10,0,0,201.9,35.8,89.4,ACTIVE,9.3,27.2,,,,13.8,18.8,15.8,14.3,,30.0,6.2,,15.5,18.2,16.1,16.7
4428331,Rashee Rice,KC,WR,10,0,0,201.5,156.8,88.1,ACTIVE,11.6,4.0,10.9,6.2,13.3,11.2,17.0,9.6,9.7,,8.2,24.7,11.0,13.2,15.0,17.1,18.7
