week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,2.4,26.0,52.1,0.0,18.0,102.1,15.0
2,13.5,17.7,29.2,0.0,13.0,80.0,17.0
3,24.3,22.4,38.1,10.9,4.0,75.0,18.0
4,22.9,10.8,51.9,10.3,10.0,61.2,26.0
5,0.9,20.6,23.2,3.1,0.0,128.8,0.0
6,14.2,12.6,26.8,18.2,8.0,112.9,20.0
7,38.0,22.9,31.8,9.5,0.0,125.1,31.0
8,0.0,10.7,39.3,14.0,10.0,139.8,27.0
9,18.9,11.9,21.1,29.4,4.0,123.8,17.0
10,0.0,20.8,21.0,33.2,9.0,80.1,27.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,39.6,26.9,6.1,6.0,98.4,24.0
13,16.3,18.9,26.0,30.8,0.0,95.0,33.0
14,7.5,20.8,39.0,1.2,6.0,94.6,6.0
15,22.8,28.7,16.8,13.2,5.0,116.4,6.0
16,20.7,18.4,64.1,16.7,0.0,116.4,30.0
17,16.3,19.2,44.5,3.0,1.0,120.6,13.0
