week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,7.5,25.5,23.1,0.0,5.0,110.4,10.0
2,20.3,17.8,38.3,7.0,6.0,95.2,24.0
3,18.0,12.0,37.0,22.4,0.0,82.1,20.0
4,17.2,11.2,35.2,15.9,17.0,67.6,23.0
5,14.2,22.6,25.2,22.7,15.0,100.5,19.0
6,0.0,26.1,14.1,5.4,17.0,97.6,24.0
7,16.2,15.9,36.7,9.3,7.0,108.6,13.0
8,26.6,13.1,64.8,6.7,4.0,116.3,28.0
9,4.2,24.7,24.8,18.8,11.0,93.5,31.0
10,32.0,8.6,10.5,24.4,18.0,76.5,25.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10.9,18.9,31.0,16.6,18.0,87.6,15.0
13,1.4,10.5,20.8,8.7,7.0,61.7,8.0
14,20.1,29.3,13.9,9.6,11.0,88.4,29.0
15,7.6,15.6,54.5,7.6,9.0,43.7,9.0
16,24.8,14.6,17.7,19.9,4.0,119.4,10.0
17,0.0,43.4,36.7,14.7,14.0,65.4,37.0
