team,offensive_rank,defensive_rank,opponent
ARI,23,19,TEN
ATL,25,7,
BAL,3,30,HOU
BUF,2,15,NE
CAR,26,14,MIA
CHI,12,3,
CIN,30,10,DET
CLE,31,26,MIN
DAL,5,27,NYJ
DEN,16,16,PHI
DET,1,8,CIN
GB,9,28,
HOU,29,25,BAL
IND,4,9,LV
JAX,18,1,KC
KC,14,17,JAX
LAC,20,24,WSH
LAR,13,4,SF
LV,24,18,IND
MIA,22,20,CAR
MIN,10,5,CLE
NE,11,21,BUF
NO,28,22,NYG
NYG,27,23,NO
NYJ,19,32,DAL
PHI,7,12,DEN
PIT,17,2,
SEA,6,6,TB
SF,21,13,LAR
TB,15,29,SEA
TEN,32,11,ARI
WSH,8,31,LAC
