week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,31.2,17.7,34.0,5.4,10.0,94.1,34.0
2,6.6,19.0,42.0,2.2,4.0,142.5,10.0
3,14.6,37.5,25.7,13.0,2.0,75.3,20.0
4,24.0,40.7,38.0,9.1,11.0,75.0,42.0
5,13.1,2.2,36.8,24.1,8.0,103.6,23.0
6,25.6,22.4,56.7,9.3,0.0,79.3,34.0
7,14.8,28.9,15.1,16.1,21.0,85.9,15.0
8,14.7,43.1,35.2,10.1,11.0,123.6,27.0
9,9.2,18.3,37.1,1.4,13.0,93.9,9.0
10,0.0,18.7,10.3,5.5,0.0,120.0,6.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,21.1,15.5,41.5,4.9,6.0,83.8,16.0
13,0.0,20.0,30.9,5.8,0.0,113.8,23.0
14,34.6,45.7,48.9,7.1,12.0,94.4,30.0
15,17.5,17.9,23.1,13.3,6.0,104.8,17.0
16,27.1,42.0,34.2,6.2,6.0,101.9,36.0
17,9.2,16.2,34.2,2.9,9.0,103.2,13.0
