week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,13.4,29.0,7.3,8.0,110.6,6.0
2,14.0,4.9,22.4,28.5,5.0,102.2,17.0
3,13.0,7.3,65.7,3.1,0.0,108.6,7.0
4,28.2,14.5,66.8,21.6,0.0,114.0,29.0
5,15.9,10.5,42.5,11.5,16.0,96.5,17.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,18.8,40.0,45.2,3.5,8.0,99.0,31.0
8,24.8,25.4,31.9,3.7,4.0,59.6,30.0
9,27.4,11.2,26.4,0.0,9.0,102.3,13.0
10,0.0,5.7,6.8,4.5,1.0,75.6,7.0
11,15.6,7.7,19.5,7.1,8.0,71.4,13.0
12,26.9,17.7,61.2,15.2,8.0,92.5,27.0
13,15.2,15.6,30.2,27.8,16.0,58.7,22.0
14,9.8,32.4,48.3,4.5,7.0,110.7,21.0
15,10.1,10.6,49.2,4.2,6.0,98.9,12.0
16,22.9,21.1,31.0,17.3,6.0,88.6,24.0
17,14.0,19.8,36.8,8.7,5.0,110.2,25.0
